AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample
GCA_015103635.1,Xenotilapia sp. 'kilesa' AB-2019 (bony fishes),Xenotilapia sp. 'kilesa' AB-2019,7.25,2020/10/29 00:00,"""CICHLID~X""",9422,17528,SAMN12123618
GCA_015052345.1,Lamprologus callipterus (bony fishes),Lamprologus callipterus,12.61,2020/10/28 00:00,"""CICHLID~X""",9409,19269,SAMN12123702
GCA_015109675.1,Lamprologus speciosus (bony fishes),Lamprologus speciosus,12.89,2020/10/29 00:00,"""CICHLID~X""",9405,17990,SAMN12123980
GCA_900499035.1,Sardina pilchardus (sardine),Sardina pilchardus,50,2018/09/24 00:00,CCMAR,9398,96617,SAMEA4809151
GCA_015102355.1,Neolamprologus nigriventris (bony fishes),Neolamprologus nigriventris,12.99,2020/10/29 00:00,"""CICHLID~X""",9382,19239,SAMN12123581
GCA_015104255.1,Reganochromis calliurus (bony fishes),Reganochromis calliurus,9.79,2020/10/29 00:00,"""CICHLID~X""",9377,18387,SAMN12123758
GCA_015110515.1,Neolamprologus falcicula (bony fishes),Neolamprologus falcicula,11.41,2020/10/29 00:00,"""CICHLID~X""",9336,20177,SAMN12123936
GCA_015103115.1,Julidochromis transcriptus (masked julie),Julidochromis transcriptus,14.67,2020/10/29 00:00,"""CICHLID~X""",9288,20999,SAMN12123645
GCA_015110235.1,Astatotilapia stappersii (bony fishes),Astatotilapia stappersii,8.23,2020/10/29 00:00,"""CICHLID~X""",9258,18799,SAMN12123946
GCA_900302615.1,Holocentrus rufus (longspine squirrelfish),Holocentrus rufus,20,2018/03/19 00:00,CEES,9243,21389,SAMEA4028806
GCA_015106975.1,Neolamprologus mondabu (bony fishes),Neolamprologus mondabu,13.5,2020/10/29 00:00,"""CICHLID~X""",9226,19663,SAMN12123866
GCA_015105195.1,Perissodus microlepis (bony fishes),Perissodus microlepis,11.4,2020/10/29 00:00,"""CICHLID~X""",9218,21236,SAMN12123709
GCA_015104595.1,Lobochilotes labiatus (bony fishes),Lobochilotes labiatus,9.37,2020/10/29 00:00,"""CICHLID~X""",9207,19398,SAMN12123738
GCA_015111495.1,Tropheus sp. 'Kirschfleck' (bony fishes),Tropheus sp. 'Kirschfleck',9.13,2020/10/29 00:00,"""CICHLID~X""",9199,21477,SAMN12124039
GCA_015107575.1,Telmatochromis vittatus (bony fishes),Telmatochromis vittatus,9.49,2020/10/29 00:00,"""CICHLID~X""",9181,18482,SAMN12123824
GCA_015052385.1,Limnochromis abeelei (bony fishes),Limnochromis abeelei,9.56,2020/10/28 00:00,"""CICHLID~X""",9174,20635,SAMN12123746
GCA_015107155.1,Neolamprologus sp. 'ventralis stripe' AB-2019 (bony fishes),Neolamprologus sp. 'ventralis stripe' AB-2019,19.51,2020/10/29 00:00,"""CICHLID~X""",9151,19199,SAMN12123851
GCA_015109935.1,Lamprologus ornatipinnis (bony fishes),Lamprologus ornatipinnis,10.71,2020/10/29 00:00,"""CICHLID~X""",9147,19261,SAMN12123964
GCA_015107495.1,Bathybates hornii (bony fishes),Bathybates hornii,15.26,2020/10/29 00:00,"""CICHLID~X""",9145,16639,SAMN12123836
GCA_015110695.1,Tropheus sp. 'brichardi kipili' AB-2019 (bony fishes),Tropheus sp. 'brichardi kipili' AB-2019,9.16,2020/10/29 00:00,"""CICHLID~X""",9126,19568,SAMN12124083
GCA_015708495.1,Stomatepia pindu (pindu),Stomatepia pindu,10,2020/12/01 00:00,"""CICHLID~X""",9100,27401,SAMN13929962
GCA_015108755.1,Neolamprologus pectoralis (bony fishes),Neolamprologus pectoralis,15.11,2020/10/29 00:00,"""CICHLID~X""",9075,20216,SAMN12123883
GCA_015106455.1,Lamprologus signatus (bony fishes),Lamprologus signatus,12.13,2020/10/29 00:00,"""CICHLID~X""",9060,18689,SAMN12123775
GCA_015107355.1,Neolamprologus meeli (bony fishes),Neolamprologus meeli,19.24,2020/10/29 00:00,"""CICHLID~X""",9055,18069,SAMN12123840
GCA_015106715.1,Bujurquina vittata (banded acara),Bujurquina vittata,9.17,2020/10/29 00:00,"""CICHLID~X""",9052,28157,SAMN12123894
GCA_015108255.1,Neolamprologus olivaceous (bony fishes),Neolamprologus olivaceous,15.99,2020/10/29 00:00,"""CICHLID~X""",9033,20079,SAMN12123926
GCA_015107295.1,Plecodus paradoxus (bony fishes),Plecodus paradoxus,10.71,2020/10/29 00:00,"""CICHLID~X""",9005,23414,SAMN12123845
GCA_015108575.1,Heterotilapia buettikoferi (bony fishes),Heterotilapia buettikoferi,9.43,2020/10/29 00:00,"""CICHLID~X""",8911,22937,SAMN12123898
GCA_015109215.1,Neolamprologus walteri (bony fishes),Neolamprologus walteri,9.03,2020/10/29 00:00,"""CICHLID~X""",8895,19226,SAMN12124001
GCA_015106215.1,Xenotilapia caudafasciata (bony fishes),Xenotilapia caudafasciata,9.37,2020/10/29 00:00,"""CICHLID~X""",8883,17278,SAMN12123786
GCA_015108535.1,Steatocranus sp. 'ultraslender' AB-2019 (bony fishes),Steatocranus sp. 'ultraslender' AB-2019,20.47,2020/10/29 00:00,"""CICHLID~X""",8861,15934,SAMN12123903
GCA_015708565.1,Pungu maclareni (bony fishes),Pungu maclareni,10,2020/12/01 00:00,"""CICHLID~X""",8858,27798,SAMN13929960
GCA_015111775.1,Julidochromis sp. 'marlieri south' AB-2019 (bony fishes),Julidochromis sp. 'marlieri south' AB-2019,10.91,2020/10/29 00:00,"""CICHLID~X""",8849,18888,SAMN12124026
GCA_015109515.1,Petrochromis sp. 'kazumbae' AB-2019 (bony fishes),Petrochromis sp. 'kazumbae' AB-2019,10.94,2020/10/29 00:00,"""CICHLID~X""",8818,24631,SAMN12123987
GCA_015108215.1,Neolamprologus leleupi (bony fishes),Neolamprologus leleupi,14.54,2020/10/29 00:00,"""CICHLID~X""",8808,20695,SAMN12123927
GCA_000787155.1,Scartelaos histophorus (walking goby),Scartelaos histophorus,72,2014/12/02 00:00,BGI-shenzhen,8806,15105,SAMN03201693
GCA_015110755.1,Julidochromis marksmithi (bony fishes),Julidochromis marksmithi,10.78,2020/10/29 00:00,"""CICHLID~X""",8799,19870,SAMN12124080
GCA_900302535.1,Neoniphon sammara (Sammara squirrelfish),Neoniphon sammara,14,2018/03/21 00:00,CEES,8761,21768,SAMEA4028807
GCA_015108455.1,Lamprologus tigripictilis (bony fishes),Lamprologus tigripictilis,19.99,2020/10/29 00:00,"""CICHLID~X""",8751,17060,SAMN12123910
GCA_015108915.1,Telmatochromis sp. 'dhonti north' AB-2019 (bony fishes),Telmatochromis sp. 'dhonti north' AB-2019,7.9,2020/10/29 00:00,"""CICHLID~X""",8747,19393,SAMN12123863
GCA_015107315.1,Lamprologus laparogramma (bony fishes),Lamprologus laparogramma,12.5,2020/10/29 00:00,"""CICHLID~X""",8724,17899,SAMN12123844
GCA_015108495.1,Heterochromis multidens (bony fishes),Heterochromis multidens,22.25,2020/10/29 00:00,"""CICHLID~X""",8670,17757,SAMN12123905
GCA_015108335.1,Neolamprologus marunguensis (bony fishes),Neolamprologus marunguensis,15.67,2020/10/29 00:00,"""CICHLID~X""",8646,20188,SAMN12123924
GCA_015110035.1,Callochromis pleurospilus (bony fishes),Callochromis pleurospilus,21.82,2020/10/29 00:00,"""CICHLID~X""",8599,16568,SAMN12123959
GCA_015103775.1,Ctenochromis horei (bony fishes),Ctenochromis horei,10.39,2020/10/29 00:00,"""CICHLID~X""",8597,20823,SAMN12123609
GCA_015105475.1,Interochromis loocki (bony fishes),Interochromis loocki,11.75,2020/10/29 00:00,"""CICHLID~X""",8585,22433,SAMN12123694
GCA_015104715.1,Neolamprologus pulcher (bony fishes),Neolamprologus pulcher,9.82,2020/10/29 00:00,"""CICHLID~X""",8575,15853,SAMN12123734
GCA_015102335.1,Neolamprologus hecqui (bony fishes),Neolamprologus hecqui,15.77,2020/10/29 00:00,"""CICHLID~X""",8563,18799,SAMN12123582
GCA_015105755.1,Xenotilapia leptura (bony fishes),Xenotilapia leptura,13.5,2020/10/29 00:00,"""CICHLID~X""",8556,15101,SAMN12123681
GCA_015111195.1,Tropheus sp. 'mpimbwe' AB-2019 (bony fishes),Tropheus sp. 'mpimbwe' AB-2019,8.91,2020/10/29 00:00,"""CICHLID~X""",8554,19089,SAMN12124057
GCA_015111435.1,Petrochromis macrognathus (bony fishes),Petrochromis macrognathus,9.01,2020/10/29 00:00,"""CICHLID~X""",8547,18197,SAMN12124043
GCA_015107715.1,Tylochromis polylepis (bony fishes),Tylochromis polylepis,19.48,2020/10/29 00:00,"""CICHLID~X""",8530,18818,SAMN12123820
GCA_900660455.1,Gephyroberyx darwinii (Darwin's slimehead),Gephyroberyx darwinii,28,2019/06/18 00:00,CEES,8514,18145,SAMEA5226240
GCA_900302755.1,Chromis chromis (damselfish),Chromis chromis,23,2018/03/21 00:00,CEES,8509,14223,SAMEA4028828
GCA_015104745.1,Neolamprologus savoryi (bony fishes),Neolamprologus savoryi,11.04,2020/10/29 00:00,"""CICHLID~X""",8508,19013,SAMN12123732
GCA_015103415.1,Enantiopus melanogenys (bony fishes),Enantiopus melanogenys,11.94,2020/10/29 00:00,"""CICHLID~X""",8477,15189,SAMN12123629
GCA_015118035.1,Xenotilapia tenuidentata (bony fishes),Xenotilapia tenuidentata,16.23,2020/10/29 00:00,"""CICHLID~X""",8469,16698,SAMN12124107
GCA_015109915.1,Lepidiolamprologus profundicola (bony fishes),Lepidiolamprologus profundicola,10.82,2020/10/29 00:00,"""CICHLID~X""",8456,18974,SAMN12123966
GCA_015708515.1,Sarotherodon caroli (fissi),Sarotherodon caroli,10,2020/12/01 00:00,"""CICHLID~X""",8450,30184,SAMN13929963
GCA_015104655.1,Altolamprologus compressiceps (bony fishes),Altolamprologus compressiceps,11.98,2020/10/29 00:00,"""CICHLID~X""",8441,17144,SAMN12123737
GCA_903171835.1,Mullus surmuletus (striped red mullet),Mullus surmuletus,74,2020/06/05 00:00,UMR5175,8436,482943,SAMEA6813210
GCA_015110335.1,Paracyprichromis brieni (bony fishes),Paracyprichromis brieni,9.2,2020/10/29 00:00,"""CICHLID~X""",8431,17921,SAMN12123944
GCA_015105585.1,Tropheus sp. 'red' AB-2019 (bony fishes),Tropheus sp. 'red' AB-2019,11.44,2020/10/29 00:00,"""CICHLID~X""",8430,21289,SAMN12123688
GCA_015104535.1,Gnathochromis permaxillaris (bony fishes),Gnathochromis permaxillaris,11.53,2020/10/29 00:00,"""CICHLID~X""",8427,20905,SAMN12123742
GCA_015102815.1,Benthochromis horii (bony fishes),Benthochromis horii,11.32,2020/10/29 00:00,"""CICHLID~X""",8411,20481,SAMN12123661
GCA_015104075.1,Neolamprologus crassus (bony fishes),Neolamprologus crassus,11.11,2020/10/29 00:00,"""CICHLID~X""",8405,18897,SAMN12123765
GCA_015102195.1,Neolamprologus fasciatus (bony fishes),Neolamprologus fasciatus,12.61,2020/10/29 00:00,"""CICHLID~X""",8402,17411,SAMN12123593
GCA_015104405.1,Bathybates fasciatus (bony fishes),Bathybates fasciatus,14.16,2020/10/29 00:00,"""CICHLID~X""",8373,17371,SAMN12123750
GCA_015111915.1,Orthochromis malagaraziensis (bony fishes),Orthochromis malagaraziensis,8.85,2020/10/29 00:00,"""CICHLID~X""",8359,17499,SAMN12124019
GCA_015106585.1,Xenotilapia papilio (bony fishes),Xenotilapia papilio,8.43,2020/10/29 00:00,"""CICHLID~X""",8327,16923,SAMN12123766
GCA_015110215.1,Tropheus brichardi (bony fishes),Tropheus brichardi,11.15,2020/10/29 00:00,"""CICHLID~X""",8313,21385,SAMN12123952
GCA_015111975.1,Telmatochromis bifrenatus (bony fishes),Telmatochromis bifrenatus,9.45,2020/10/29 00:00,"""CICHLID~X""",8312,17923,SAMN12124017
GCA_015113255.1,Neolamprologus bifasciatus (bony fishes),Neolamprologus bifasciatus,9.16,2020/10/29 00:00,"""CICHLID~X""",8310,17260,SAMN12124105
GCA_015107095.1,Neolamprologus buescheri (bony fishes),Neolamprologus buescheri,9.35,2020/10/29 00:00,"""CICHLID~X""",8305,14345,SAMN12123855
GCA_015111895.1,Orthochromis uvinzae (bony fishes),Orthochromis uvinzae,8.45,2020/10/29 00:00,"""CICHLID~X""",8303,17786,SAMN12124020
GCA_015109035.1,Neolamprologus chitamwebwai (bony fishes),Neolamprologus chitamwebwai,8.79,2020/10/29 00:00,"""CICHLID~X""",8294,16878,SAMN12124009
GCA_901007715.1,Dactylopterus volitans (flying gurnard),Dactylopterus volitans,34,2020/04/15 00:00,CEES,8271,17099,SAMEA5563350
GCA_015110975.1,Cyphotilapia frontosa (humphead cichlid),Cyphotilapia frontosa,8.53,2020/10/29 00:00,"""CICHLID~X""",8262,19609,SAMN12124067
GCA_015102775.1,Benthochromis melanoides (bony fishes),Benthochromis melanoides,11.4,2020/10/29 00:00,"""CICHLID~X""",8230,20326,SAMN12123662
GCA_015052405.1,Altolamprologus calvus (bony fishes),Altolamprologus calvus,12.15,2020/10/28 00:00,"""CICHLID~X""",8227,16859,SAMN12123691
GCA_015110915.1,Neolamprologus sp. 'eseki' AB-2019 (bony fishes),Neolamprologus sp. 'eseki' AB-2019,10.1,2020/10/29 00:00,"""CICHLID~X""",8220,19069,SAMN12124072
GCA_015102635.1,Xenotilapia nasus (bony fishes),Xenotilapia nasus,15.22,2020/10/29 00:00,"""CICHLID~X""",8211,18402,SAMN12123672
GCA_015109475.1,Neolamprologus similis (bony fishes),Neolamprologus similis,11.04,2020/10/29 00:00,"""CICHLID~X""",8184,18012,SAMN12123989
GCA_015103035.1,Neolamprologus calliurus (bony fishes),Neolamprologus calliurus,12.71,2020/10/29 00:00,"""CICHLID~X""",8168,18816,SAMN12123651
GCA_900302285.1,Percopsis transmontana (sand roller),Percopsis transmontana,35,2018/03/20 00:00,CEES,8161,15180,SAMEA4028770
GCA_015107375.1,Lamprologus sp. 'ornatipinnis zambia' AB-2019 (bony fishes),Lamprologus sp. 'ornatipinnis zambia' AB-2019,10.45,2020/10/29 00:00,"""CICHLID~X""",8143,14892,SAMN12123841
GCA_015110015.1,Xenotilapia ornatipinnis (bony fishes),Xenotilapia ornatipinnis,11.01,2020/10/29 00:00,"""CICHLID~X""",8120,18384,SAMN12123960
GCA_011763505.1,Lythrypnus dalli (bluebanded goby),Lythrypnus dalli,120,2020/03/27 00:00,IRIDIAN GENOMES,8114,2577483,SAMN06220456
GCF_001266775.1,Austrofundulus limnaeus (bony fishes),Austrofundulus limnaeus,94,2015/07/28 00:00,"Center for Life in Extreme Environments at Portland State University, Portland, OR",8097,1098383,SAMN03490872
GCA_010119295.1,Larimichthys polyactis (yellow croaker),Larimichthys polyactis,141,2020/02/03 00:00,Zhejiang Ocean University,8079,146739,SAMN13220413
GCA_015104175.1,Xenotilapia bathyphila (bony fishes),Xenotilapia bathyphila,12.05,2020/10/29 00:00,"""CICHLID~X""",8047,16943,SAMN12123762
GCA_900323365.1,Monocentris japonicus (pineconefish),Monocentris japonicus,16,2018/03/26 00:00,CEES,8046,18672,SAMEA4028804
GCA_015105375.1,Xenotilapia boulengeri (bony fishes),Xenotilapia boulengeri,9.95,2020/10/29 00:00,"""CICHLID~X""",8041,15481,SAMN12123698
GCA_015102085.1,Xenotilapia sima (bony fishes),Xenotilapia sima,11.84,2020/10/29 00:00,"""CICHLID~X""",7992,16869,SAMN12123755
GCA_015109575.1,Orthochromis mazimeroensis (bony fishes),Orthochromis mazimeroensis,9.26,2020/10/29 00:00,"""CICHLID~X""",7972,15634,SAMN12123984
GCA_015109875.1,Astatoreochromis straeleni (bluelip haplo),Astatoreochromis straeleni,9.57,2020/10/29 00:00,"""CICHLID~X""",7930,15567,SAMN12123967
GCA_015102675.1,Neolamprologus obscurus (bony fishes),Neolamprologus obscurus,8.23,2020/10/29 00:00,"""CICHLID~X""",7921,16758,SAMN12123666
GCA_015104635.1,Cyprichromis leptosoma (bony fishes),Cyprichromis leptosoma,11.24,2020/10/29 00:00,"""CICHLID~X""",7919,18754,SAMN12123740
GCA_015109155.1,Tropheus duboisi (dwarf Tanganyikan cichlid),Tropheus duboisi,10.19,2020/10/29 00:00,"""CICHLID~X""",7918,20781,SAMN12124008
GCA_015106855.1,Xenotilapia ochrogenys (bony fishes),Xenotilapia ochrogenys,12.67,2020/10/29 00:00,"""CICHLID~X""",7887,14890,SAMN12123874
GCA_015104565.1,Limnochromis auritus (spangled cichlid),Limnochromis auritus,9.89,2020/10/29 00:00,"""CICHLID~X""",7877,24055,SAMN12123744
GCA_015102915.1,Julidochromis sp. 'kombe' AB-2019 (bony fishes),Julidochromis sp. 'kombe' AB-2019,8.91,2020/10/29 00:00,"""CICHLID~X""",7872,15580,SAMN12123657
GCA_015104465.1,Neolamprologus christyi (bony fishes),Neolamprologus christyi,10.35,2020/10/29 00:00,"""CICHLID~X""",7850,17227,SAMN12123749
GCA_015107635.1,Telmatochromis brachygnathus (bony fishes),Telmatochromis brachygnathus,8.72,2020/10/29 00:00,"""CICHLID~X""",7847,17497,SAMN12123828
GCA_015103395.1,Callochromis macrops (bony fishes),Callochromis macrops,11.07,2020/10/29 00:00,"""CICHLID~X""",7844,15931,SAMN12123631
GCA_900660355.1,Hoplostethus atlanticus (orange roughy),Hoplostethus atlanticus,28,2019/06/18 00:00,CEES,7812,15562,SAMEA5226241
GCA_015112635.1,Chalinochromis cyanophleps (bony fishes),Chalinochromis cyanophleps,10.11,2020/10/29 00:00,"""CICHLID~X""",7798,17759,SAMN12124089
GCA_015102795.1,Bathybates graueri (bony fishes),Bathybates graueri,12.48,2020/10/29 00:00,"""CICHLID~X""",7795,15774,SAMN12123663
GCA_015111655.1,Neolamprologus leloupi (bony fishes),Neolamprologus leloupi,10.36,2020/10/29 00:00,"""CICHLID~X""",7785,18065,SAMN12124030
GCA_015052665.1,Apistogramma diplotaenia (bony fishes),Apistogramma diplotaenia,8.23,2020/10/28 00:00,"""CICHLID~X""",7784,25160,SAMN12123895
GCA_015112615.1,Ophthalmotilapia sp. 'white cap' AB-2019 (bony fishes),Ophthalmotilapia sp. 'white cap' AB-2019,10.92,2020/10/29 00:00,"""CICHLID~X""",7777,17297,SAMN12124091
GCA_015112095.1,Ectodus sp. 'north' (bony fishes),Ectodus sp. 'north',8.48,2020/10/29 00:00,"""CICHLID~X""",7755,15826,SAMN12124011
GCA_015106915.1,Cyprichromis microlepidotus (bony fishes),Cyprichromis microlepidotus,8.45,2020/10/29 00:00,"""CICHLID~X""",7749,17400,SAMN12123871
GCA_003347165.1,Ageneiosus marmoratus (bony fishes),Ageneiosus marmoratus,180,2018/07/31 00:00,Auburn University,7741,223139,SAMN08271869
GCA_015103355.1,Trematochromis benthicola (bony fishes),Trematochromis benthicola,10.64,2020/10/29 00:00,"""CICHLID~X""",7736,21982,SAMN12123632
GCA_015103655.1,Cyathopharynx furcifer (bony fishes),Cyathopharynx furcifer,10.67,2020/10/29 00:00,"""CICHLID~X""",7725,17001,SAMN12123617
GCA_015112555.1,Neolamprologus petricola (bony fishes),Neolamprologus petricola,9.96,2020/10/29 00:00,"""CICHLID~X""",7694,18014,SAMN12124094
GCA_015111955.1,Neolamprologus niger (bony fishes),Neolamprologus niger,8.48,2020/10/29 00:00,"""CICHLID~X""",7682,15101,SAMN12124015
GCA_015111835.1,Oreochromis malagarasi (bony fishes),Oreochromis malagarasi,8.89,2020/10/29 00:00,"""CICHLID~X""",7668,22297,SAMN12124022
GCA_015111535.1,Petrochromis sp. 'red' AB-2019 (bony fishes),Petrochromis sp. 'red' AB-2019,8.15,2020/10/29 00:00,"""CICHLID~X""",7649,18769,SAMN12124036
GCA_015107115.1,Triglachromis otostigma (bony fishes),Triglachromis otostigma,12.27,2020/10/29 00:00,"""CICHLID~X""",7635,17330,SAMN12123852
GCA_015110795.1,Lepidiolamprologus kamambae (bony fishes),Lepidiolamprologus kamambae,10.58,2020/10/29 00:00,"""CICHLID~X""",7615,16863,SAMN12124078
GCA_015052265.1,Cyprichromis pavo (bony fishes),Cyprichromis pavo,11.8,2020/10/28 00:00,"""CICHLID~X""",7608,18957,SAMN12123846
GCA_015113155.1,Plecodus elaviae (bony fishes),Plecodus elaviae,9.98,2020/10/29 00:00,"""CICHLID~X""",7573,20442,SAMN12124109
GCA_015111615.1,Neolamprologus sp. 'gracilis tanzania' AB-2019 (bony fishes),Neolamprologus sp. 'gracilis tanzania' AB-2019,8.68,2020/10/29 00:00,"""CICHLID~X""",7544,16381,SAMN12124034
GCA_015102955.1,Neolamprologus mustax (bony fishes),Neolamprologus mustax,10.61,2020/10/29 00:00,"""CICHLID~X""",7541,17668,SAMN12123652
GCA_015104675.1,Julidochromis ornatus (golden julie),Julidochromis ornatus,10.61,2020/10/29 00:00,"""CICHLID~X""",7535,17828,SAMN12123736
GCA_015104355.1,Trematocara macrostoma (bony fishes),Trematocara macrostoma,15.32,2020/10/29 00:00,"""CICHLID~X""",7524,12581,SAMN12123752
GCA_015106895.1,Lestradea stappersii (bony fishes),Lestradea stappersii,8.77,2020/10/29 00:00,"""CICHLID~X""",7523,15765,SAMN12123872
GCA_015103955.1,Lepidiolamprologus attenuatus (bony fishes),Lepidiolamprologus attenuatus,10.41,2020/10/29 00:00,"""CICHLID~X""",7519,16957,SAMN12123600
GCA_015102975.1,Telmatochromis sp. 'lufubu' AB-2019 (bony fishes),Telmatochromis sp. 'lufubu' AB-2019,10.61,2020/10/29 00:00,"""CICHLID~X""",7514,16680,SAMN12123650
GCA_015052505.1,Gnathochromis pfefferi (bony fishes),Gnathochromis pfefferi,9.38,2020/10/28 00:00,"""CICHLID~X""",7499,20610,SAMN12123602
GCA_000700825.1,Pimephales promelas (fathead minnow),Pimephales promelas,62,2014/06/10 00:00,DuPont,7468,60380,SAMN02418978
GCA_015103715.1,Ophthalmotilapia nasuta (bony fishes),Ophthalmotilapia nasuta,11.09,2020/10/29 00:00,"""CICHLID~X""",7442,16407,SAMN12123615
GCA_015111175.1,Neolamprologus sp. 'caudopunctatus kipili' AB-2019 (bony fishes),Neolamprologus sp. 'caudopunctatus kipili' AB-2019,10.18,2020/10/29 00:00,"""CICHLID~X""",7442,17227,SAMN12124056
GCA_015110875.1,Neolamprologus sp. 'cygnus' AB-2019 (bony fishes),Neolamprologus sp. 'cygnus' AB-2019,10.09,2020/10/29 00:00,"""CICHLID~X""",7434,18145,SAMN12124075
GCA_015107595.1,Bathybates minor (bony fishes),Bathybates minor,9.07,2020/10/29 00:00,"""CICHLID~X""",7433,14108,SAMN12123829
GCA_015111115.1,Xenotilapia sp. 'spilopterus north' AB-2019 (bony fishes),Xenotilapia sp. 'spilopterus north' AB-2019,9.03,2020/10/29 00:00,"""CICHLID~X""",7426,13626,SAMN12124059
GCA_015106175.1,Hemibates stenosoma (bony fishes),Hemibates stenosoma,9.29,2020/10/29 00:00,"""CICHLID~X""",7406,14497,SAMN12123787
GCA_015108835.1,Lamprologus sp. 'ornatipinnis congo' AB-2019 (bony fishes),Lamprologus sp. 'ornatipinnis congo' AB-2019,8.66,2020/10/29 00:00,"""CICHLID~X""",7381,14372,SAMN12123879
GCA_015102055.1,Chalinochromis brichardi (bony fishes),Chalinochromis brichardi,9.55,2020/10/29 00:00,"""CICHLID~X""",7357,16938,SAMN12123596
GCA_001606085.1,Anguilla rostrata (American eel),Anguilla rostrata,169,2016/04/04 00:00,Universite Laval,7355,86641,SAMN03737505
GCA_900302745.1,Parablennius parvicornis (rock-pool blenny),Parablennius parvicornis,30,2018/03/19 00:00,CEES,7343,16796,SAMEA4028827
GCA_015105635.1,Cyathopharynx foae (bony fishes),Cyathopharynx foae,8.78,2020/10/29 00:00,"""CICHLID~X""",7316,15006,SAMN12123686
GCA_015111745.1,Telmatochromis dhonti (bony fishes),Telmatochromis dhonti,8.84,2020/10/29 00:00,"""CICHLID~X""",7315,15022,SAMN12124027
GCA_900302405.1,Typhlichthys subterraneus (southern cavefish),Typhlichthys subterraneus,23,2018/03/19 00:00,CEES,7314,9654,SAMEA4028771
GCA_015108855.1,Telmatochromis brichardi (bony fishes),Telmatochromis brichardi,10.53,2020/10/29 00:00,"""CICHLID~X""",7285,17219,SAMN12123876
GCA_015103555.1,Chalinochromis popelini (bony fishes),Chalinochromis popelini,8.7,2020/10/29 00:00,"""CICHLID~X""",7255,14526,SAMN12123622
GCA_015106295.1,Trematocara unimaculatum (bony fishes),Trematocara unimaculatum,13.83,2020/10/29 00:00,"""CICHLID~X""",7238,13602,SAMN12123781
GCA_015111355.1,Petrochromis sp. 'giant' AB-2019 (bony fishes),Petrochromis sp. 'giant' AB-2019,10.1,2020/10/29 00:00,"""CICHLID~X""",7185,21298,SAMN12124046
GCA_015103795.1,Xenotilapia spiloptera (bony fishes),Xenotilapia spiloptera,10.51,2020/10/29 00:00,"""CICHLID~X""",7181,15111,SAMN12123610
GCA_015109695.1,Neolamprologus boulengeri (bony fishes),Neolamprologus boulengeri,8.82,2020/10/29 00:00,"""CICHLID~X""",7181,14253,SAMN12123977
GCA_015105275.1,Haplotaxodon trifasciatus (bony fishes),Haplotaxodon trifasciatus,9.97,2020/10/29 00:00,"""CICHLID~X""",7150,19295,SAMN12123705
GCA_015106555.1,Haplochromis vanheusdeni (bony fishes),Haplochromis vanheusdeni,9.24,2020/10/29 00:00,"""CICHLID~X""",7127,13129,SAMN12123916
GCA_015104335.1,Trematocara nigrifrons (bony fishes),Trematocara nigrifrons,8.68,2020/10/29 00:00,"""CICHLID~X""",7084,10568,SAMN12123753
GCA_015111455.1,Petrochromis sp. 'moshi yellow' AB-2019 (bony fishes),Petrochromis sp. 'moshi yellow' AB-2019,9.75,2020/10/29 00:00,"""CICHLID~X""",7050,20831,SAMN12124041
GCA_015105235.1,Paracyprichromis sp. 'brieni south' AB-2019 (bony fishes),Paracyprichromis sp. 'brieni south' AB-2019,10.88,2020/10/29 00:00,"""CICHLID~X""",7018,18184,SAMN12123707
GCA_015103815.1,Limnotilapia dardennii (bony fishes),Limnotilapia dardennii,9.72,2020/10/29 00:00,"""CICHLID~X""",7015,21625,SAMN12123607
GCA_015111255.1,Neolamprologus sp. 'furcifer ulwile' AB-2019 (bony fishes),Neolamprologus sp. 'furcifer ulwile' AB-2019,9.56,2020/10/29 00:00,"""CICHLID~X""",7009,16984,SAMN12124054
GCA_015103915.1,Petrochromis polyodon (bony fishes),Petrochromis polyodon,9.65,2020/10/29 00:00,"""CICHLID~X""",6985,21185,SAMN12123603
GCA_015102735.1,Telmatochromis temporalis (bony fishes),Telmatochromis temporalis,10.6,2020/10/29 00:00,"""CICHLID~X""",6984,16681,SAMN12123668
GCA_015104795.1,Trematocara marginatum (bony fishes),Trematocara marginatum,18.38,2020/10/29 00:00,"""CICHLID~X""",6980,11695,SAMN12123730
GCA_015052645.1,Benitochromis conjunctus (bony fishes),Benitochromis conjunctus,9.2,2020/10/28 00:00,"""CICHLID~X""",6902,27758,SAMN12123899
GCA_015102295.1,Aulonocranus dewindti (bony fishes),Aulonocranus dewindti,10.13,2020/10/29 00:00,"""CICHLID~X""",6878,16786,SAMN12123586
GCA_015107995.1,Trematocara stigmaticum (bony fishes),Trematocara stigmaticum,12.69,2020/10/29 00:00,"""CICHLID~X""",6870,12144,SAMN12123803
GCA_015108095.1,Petrochromis famula (bony fishes),Petrochromis famula,10.72,2020/10/29 00:00,"""CICHLID~X""",6846,20166,SAMN12123793
GCA_900302585.1,Regalecus glesne (king of herrings),Regalecus glesne,30,2018/03/20 00:00,CEES,6781,9773,SAMEA4028802
GCA_015104875.1,Telmatochromis sp. 'shell' AB-2019 (bony fishes),Telmatochromis sp. 'shell' AB-2019,10.88,2020/10/29 00:00,"""CICHLID~X""",6771,17380,SAMN12123727
