Assembly,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
GCA_010085335.1,Eudyptes pachyrhynchus (Fiordland penguin),Eudyptes pachyrhynchus,116,1/31/20 0:00,BGI-Shenzhen,58247,8912950,SAMN12384875,GCA_010085335.1,NA,Illumina HiSeq,no
GCA_010085315.1,Eudyptes robustus (Snares penguin),Eudyptes robustus,139,1/31/20 0:00,BGI-Shenzhen,83286,367542,SAMN12384876,GCA_010085315.1,NA,Illumina HiSeq,no
GCA_010080425.1,Eudyptes schlegeli (Royal penguin),Eudyptes schlegeli,320,1/31/20 0:00,BGI-Shenzhen,42596,1894246,SAMN12384870,GCA_010080425.1,NA,BGISEQ,no
GCA_010078445.1,Eudyptes sclateri (Erect-crested penguin),Eudyptes sclateri,132,1/31/20 0:00,BGI-Shenzhen,83178,1921244,SAMN12384874,GCA_010078445.1,NA,Illumina HiSeq,no
GCA_010080465.1,Eudyptula albosignata (White-flippered penguin),Eudyptula albosignata,101,1/31/20 0:00,BGI-Shenzhen,104210,21866543,SAMN12384880,GCA_010080465.1,NA,BGISEQ,no
GCA_010080355.1,Eudyptula minor (Little blue penguin),Eudyptula minor,87,1/31/20 0:00,BGI-Shenzhen,95403,21127646,SAMN12384879,GCA_010080355.1,NA,BGISEQ,no
GCA_010078495.1,Eudyptula novaehollandiae (Australian little penguin),Eudyptula novaehollandiae,138,1/31/20 0:00,BGI-Shenzhen,134160,29280209,SAMN12384878,GCA_010078495.1,NA,BGISEQ,no
GCA_010078485.1,Megadyptes antipodes antipodes (Yellow-eyed penguin),Megadyptes antipodes,89,1/31/20 0:00,BGI-Shenzhen,89505,23315117,SAMN12384877,GCA_010078485.1,NA,BGISEQ,no
GCA_010078415.1,Pygoscelis antarcticus (chinstrap penguin),Pygoscelis antarcticus,125,1/31/20 0:00,BGI-Shenzhen,136952,6271244,SAMN12384868,GCA_010078415.1,NA,BGISEQ,no
GCA_010090195.1,Pygoscelis papua (Gentoo penguin),Pygoscelis papua,105,1/31/20 0:00,BGI-Shenzhen,101329,2789995,SAMN12384867,GCA_010090195.1,NA,BGISEQ,no
GCA_010077935.1,Spheniscus demersus (jackass penguin),Spheniscus demersus,115,1/31/20 0:00,BGI-Shenzhen,109372,15386364,SAMN12384881,GCA_010077935.1,NA,BGISEQ,no
GCA_010076325.1,Spheniscus humboldti (Humboldt's penguin),Spheniscus humboldti,172,1/31/20 0:00,BGI-Shenzhen,35021,6229819,SAMN12384883,GCA_010076325.1,NA,Illumina HiSeq,no
GCA_010076225.1,Spheniscus magellanicus (Magellanic penguin),Spheniscus magellanicus,172,1/31/20 0:00,BGI-Shenzhen,101702,12679469,SAMN12384882,GCA_010076225.1,NA,Illumina HiSeq,no
GCA_010077915.1,Spheniscus mendiculus (Galapagos penguin),Spheniscus mendiculus,88,1/31/20 0:00,BGI-Shenzhen,81907,381910,SAMN12384884,GCA_010077915.1,NA,BGISEQ,no
GCA_010303855.1,Bubo bubo (Eurasian eagle-owl),Bubo bubo,104,2/4/20 0:00,GEROMICS,37091,8019613,SAMN08398466,GCA_010303855.1,NA,Illumina HiSeq,no
GCA_010312235.1,Buteo japonicus (hawks & eagles),Buteo japonicus,90,2/4/20 0:00,GEROMICS,36723,7468869,SAMN08398473,GCA_010312235.1,NA,Illumina HiSeq,no
GCA_010332995.1,Falco tinnunculus (common kestrel),Falco tinnunculus,148,2/4/20 0:00,GEROMICS,37053,21232185,SAMN08398480,GCA_010332995.1,NA,Illumina HiSeq,no
GCA_010365825.1,Otus sunia (Oriental scops-owl),Otus sunia,115,2/4/20 0:00,GEROMICS,52366,18540887,SAMN08398467,GCA_010365825.1,NA,Illumina HiSeq,no
GCF_902150015.1,Tyto alba alba (Barn owl),Tyto alba,129,2/10/20 0:00,.,141398,4615526,SAMEA5733888,GCA_902150015.1,GCF_902150015.1,NA,NA
GCF_008822105.2,Taeniopygia guttata (zebra finch),Taeniopygia guttata,82.5,2/12/20 0:00,Vertebrate Genomes Project,4378277,70879221,SAMN09946140,GCA_008822105.2,GCF_008822105.2,PacBio Sequel I; 10X Genomics chromium; Bionano Genomics 2 enzyme; Arima Genomics Hi-C; Illumina HiSeq,yes
GCA_008822115.3,Taeniopygia guttata (zebra finch),Taeniopygia guttata,82.5,2/21/20 0:00,Vertebrate Genomes Project,5533763,71673800,SAMN09946140,GCA_008822115.3,NA,PacBio Sequel I; 10X Genomics chromium; Bionano Genomics 2 enzyme; Arima Genomics Hi-C; Illumina HiSeq,yes
GCA_011004865.1,Balearica regulorum gibbericeps (East African grey crowned-crane),Balearica regulorum,59.56,2/24/20 0:00,Vertebrate Genomes Project,2534691,2534691,SAMN12615749,GCA_011004875.1,NA,PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_011057915.1,Melospiza melodia maxima (song sparrow),Melospiza melodia,25,3/2/20 0:00,UNIVERSITY OF GEORGIA,31709,5584891,SAMN10622322,GCA_011057915.1,NA,Illumina HiSeq,no
GCA_011057875.1,Pterocles orientalis (black-bellied sandgrouse),Pterocles orientalis,95,3/2/20 0:00,International Fund for Houbara Conservation,48746,1099484,SAMN11607795,GCA_011057875.1,NA,Illumina HiSeq,no
GCF_004027225.2,Strigops habroptila (Kakapo),Strigops habroptila,76.1,3/4/20 0:00,Vertebrate Genomes Project,9454087,83240647,SAMN09948751,GCA_004027225.2,GCF_004027225.2,PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics HiC,yes
GCA_011004875.1,Balearica regulorum gibbericeps (East African grey crowned-crane),Balearica regulorum,59.56,3/5/20 0:00,Vertebrate Genomes Project,23326060,82577926,SAMN12615749,GCA_011004865.1,NA,PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_011075105.1,Heteronetta atricapilla (birds),Heteronetta atricapilla,60,3/10/20 0:00,Brood Parasitic Bird Genomes Consortium,151401,23364606,SAMN13257443,GCA_011075105.1,NA,Illumina NovaSeq,no
GCA_011076525.1,Nettapus auritus (birds),Nettapus auritus,60,3/10/20 0:00,Brood Parasitic Bird Genomes Consortium,105147,26011715,SAMN13257464,GCA_011076525.1,NA,Illumina NovaSeq,no
GCF_011077185.1,Oxyura jamaicensis (ruddy duck),Oxyura jamaicensis,60,3/10/20 0:00,Brood Parasitic Bird Genomes Consortium,128592,36145614,SAMN13257492,GCA_011077185.1,GCF_011077185.1,Illumina NovaSeq,no
GCA_011074415.1,Stictonetta naevosa (freckled duck),Stictonetta naevosa,60,3/10/20 0:00,Brood Parasitic Bird Genomes Consortium,136958,10707530,SAMN13257911,GCA_011074415.1,NA,Illumina NovaSeq,no
GCA_902810485.1,Alauda arvensis (Eurasian skylark),Alauda arvensis,100,3/13/20 0:00,UNIVERSITY OF EDINBURGH,79699,1430931,SAMEA6585484,GCA_902810485.1,NA,NA,NA
GCA_011317185.1,Eupsittula pertinax (brown-throated parakeet),Eupsittula pertinax,120,3/16/20 0:00,IRIDIAN GENOMES,70940,9066519,SAMN13635021,GCA_011317185.1,NA,Illumina,no
GCA_011125475.1,Melanerpes aurifrons (Golden-fronted woodpecker),Melanerpes aurifrons,46,3/17/20 0:00,University of Oklahoma,16045987,16045987,SAMN13719207,GCA_011125475.1,NA,Oxford Nanopore; Illumina,yes
GCA_011421415.1,Poecile atricapillus (Black-capped chickadee),Poecile atricapillus,120,3/19/20 0:00,University of Colorado Boulder,109509,64674564,SAMN13264372,GCA_011421415.1,NA,Illumina HiSeq,no
GCA_902806625.1,Camarhynchus parvulus (birds),Camarhynchus parvulus,31,3/21/20 0:00,UPPSALA UNIVERISTY,15143611,71061686,SAMEA6542012,GCA_902806625.1,NA,NA,NA
GCA_011763535.1,Eclectus roratus (Eclectus parrot),Eclectus roratus,120,3/27/20 0:00,IRIDIAN GENOMES,86912,3064750,SAMN11250500,GCA_011763535.1,NA,Illumina,no
GCA_011762725.1,Pionus senilis (white-capped parrot),Pionus senilis,110,3/27/20 0:00,IRIDIAN GENOMES,96461,17611112,SAMN09688240,GCA_011762725.1,NA,Illumina,no
GCA_011763355.1,Pyrrhura molinae (Green-cheeked parakeet),Pyrrhura molinae,120,3/27/20 0:00,IRIDIAN GENOMES,82819,4671993,SAMN09681958,GCA_011763355.1,NA,Illumina,no
GCA_011763455.1,Pyrrhura perlata (birds),Pyrrhura perlata,120,3/27/20 0:00,IRIDIAN GENOMES,101886,3731728,SAMN09683514,GCA_011763455.1,NA,Illumina,no
GCA_011801015.1,Ardeotis arabs (birds),Ardeotis arabs,25,3/31/20 0:00,International Fund for Houbara Conservation,34349,47611,SAMN11607792,GCA_011801015.1,NA,Illumina HiSeq,no
GCA_011799995.1,Chlamydotis macqueenii (Macqueen's bustard),Chlamydotis macqueenii,114,3/31/20 0:00,International Fund for Houbara Conservation,60940,3892422,SAMN11607796,GCA_011799995.1,NA,Illumina HiSeq,no
GCA_011800025.1,Chlamydotis macqueenii (Macqueen's bustard),Chlamydotis macqueenii,96,3/31/20 0:00,International Fund for Houbara Conservation,88943,3046415,SAMN11607797,GCA_011800025.1,NA,Illumina HiSeq,no
GCA_011800095.1,Guaruba guarouba (birds),Guaruba guarouba,120,3/31/20 0:00,IRIDIAN GENOMES,126760,9320406,SAMN12165723,GCA_011800095.1,NA,Illumina,no
GCA_000738735.4,Corvus cornix cornix (hooded crow),Corvus cornix,150,4/1/20 0:00,Uppsala University,7830412,74117537,SAMN02143031,GCA_000738735.4,NA,Hi-C; PacBio,yes
GCA_009859065.2,Taeniopygia guttata (zebra finch),Taeniopygia guttata,101.2,4/1/20 0:00,Vertebrate Genomes Project,4023669,71643432,SAMN09946140,GCA_009859065.2,NA,PacBio Sequel I; 10X genome; Bionano Genomics; Arima Genomics Hi-C,yes
GCA_012057345.1,Aquila chrysaetos japonica (golden eagle),Aquila chrysaetos,55,4/3/20 0:00,"Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies",54768,118558,SAMD00161055,GCA_012057345.1,NA,Illumina Miseq; Ion PGM; Illumina HiseqX,no
GCA_012069535.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,70,4/6/20 0:00,PacBio,320958,320958,SAMN09946140,GCA_012069535.1,NA,PacBio Sequel,yes
GCA_012069575.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,70,4/6/20 0:00,PacBio,3482864,3482864,SAMN09946140,GCA_012069575.1,NA,PacBio Sequel,yes
GCA_012069585.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,70,4/6/20 0:00,PacBio,3479827,3479827,SAMN09946140,GCA_012069585.1,NA,PacBio Sequel,yes
GCA_012069595.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,70,4/6/20 0:00,PacBio,3492644,72616063,SAMN09946140,GCA_012069595.1,NA,PacBio Sequel,yes
GCA_012069605.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,70,4/6/20 0:00,PacBio,3453391,72568716,SAMN09946140,GCA_012069595.1,NA,PacBio Sequel,yes
GCA_012069615.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,70,4/6/20 0:00,PacBio,3481582,3481582,SAMN09946140,GCA_012069615.1,NA,PacBio Sequel,yes
GCA_012487025.1,Accipiter gentilis (Northern goshawk),Accipiter gentilis,48,4/8/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",67032,150919,SAMD00156788,GCA_012487025.1,NA,Illumina HiseqX,no
GCA_012488435.1,Antigone vipio (White-naped crane),Antigone vipio,54,4/8/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",32896,77158,SAMD00156793,GCA_012488435.1,NA,Illumina HiseqX,no
GCA_012488915.1,Falco peregrinus (peregrine falcon),Falco peregrinus,61,4/8/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",88635,194737,SAMD00156794,GCA_012488915.1,NA,Illumina HiseqX,no
GCA_012487855.1,Grus monacha (hooded crane),Grus monacha,67,4/8/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",38530,89778,SAMD00156792,GCA_012487855.1,NA,Illumina HiseqX,no
GCA_012487455.1,Nisaetus nipalensis (mountain hawk-eagle),Nisaetus nipalensis,52,4/8/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",56477,116003,SAMD00156789,GCA_012487455.1,NA,Illumina HiseqX,no
GCA_012275265.1,Melopsittacus undulatus (budgerigar),Melopsittacus undulatus,61.11,4/13/20 0:00,Vertebrate Genomes Project,16111685,75845561,SAMN12623090,GCA_012275265.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_012275275.1,Melopsittacus undulatus (budgerigar),Melopsittacus undulatus,61.11,4/13/20 0:00,Vertebrate Genomes Project,12472009,99198005,SAMN12623090,GCA_012275275.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCF_012275295.1,Melopsittacus undulatus (budgerigar),Melopsittacus undulatus,61.11,4/13/20 0:00,G10K,16636420,104092594,SAMN12623090,GCA_012275295.1Ê,GCF_012275295.1,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCF_012460135.1,Molothrus ater (birds),Molothrus ater,200,4/20/20 0:00,Brood Parasitic Bird Genomes Consortium,13273966,52124711,SAMN14074414,GCA_012460135.1,GCF_012460135.1,PacBio Sequel II,yes
GCA_013030995.1,Anser cygnoides (Swan goose),Anser cygnoides,325,5/11/20 0:00,Poultry Science Institute,1849874,33116532,SAMN13281505,GCA_013030995.1,NA,PacBio RSII,yes
GCA_013036005.1,Myiopsitta monachus (monk parakeet),Myiopsitta monachus,140,5/11/20 0:00,IRIDIAN GENOMES,69906,12825613,SAMN11250504,GCA_013036005.1,NA,Illumina,no
GCA_013186435.1,Turdus rufiventris (rufous-bellied thrush),Turdus rufiventris,75,5/28/20 0:00,LNCC,34001,4184613,SAMN08668864,GCA_013186435.1,NA,Illumina MiSeq; Illumina HiSeq,no
GCA_903797565.1,Erithacus rubecula (European robin),Erithacus rubecula,41,6/11/20 0:00,SC,602370,603216,SAMEA4760689,GCA_903797595.1,NA,NA,NA
GCA_013368595.1,Nyctibius grandis (birds),Nyctibius grandis,88.4,6/23/20 0:00,Vertebrate Genomes Project,2458434,2458434,SAMN12622411,GCA_013368605.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_013368605.1,Nyctibius grandis (birds),Nyctibius grandis,88.4,6/23/20 0:00,Vertebrate Genomes Project,23231768,92359233,SAMN12622411,GCA_013368595.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_013372525.1,Fulica atra (Eurasian coot),Fulica atra,53,6/24/20 0:00,University of Illinois at Urbana-Champaign,246158,6390841,SAMN14974647,GCA_013372525.1,NA,Illumina NovaSeq,no
GCA_903797595.1,Erithacus rubecula (European robin),Erithacus rubecula,41,6/27/20 0:00,SC,5585877,46560559,SAMEA4760689,GCA_903797565.1,NA,NA,NA
GCA_900411745.1,Anas platyrhynchos (mallard),Anas platyrhynchos,64,6/28/20 0:00,zhao_yue,29908,74035964,SAMEA4646736,GCA_900411745.1,NA,NA,NA
GCF_013377495.1,Cygnus atratus (black swan),Cygnus atratus,90,6/30/20 0:00,The University of Queensland,12814145,12814145,SAMN15332785,GCA_013377495.1,GCF_013377495.1,PacBio Sequel II,yes
GCA_013389925.1,Aegithalos caudatus (Northern long-tailed tit),Aegithalos caudatus,48,7/6/20 0:00,B10K Consortium,34055,311465,SAMN12253835,GCA_013389925.1,NA,Illumina HiSeq,no
GCA_013390005.1,Calyptomena viridis (green broadbill),Calyptomena viridis,67,7/6/20 0:00,B10K Consortium,40187,169242,SAMN12253865,GCA_013390005.1,NA,Illumina HiSeq,no
GCA_013390065.1,Chloropsis hardwickii (birds),Chloropsis hardwickii,73,7/6/20 0:00,B10K Consortium,39381,572698,SAMN12253970,GCA_013390065.1,NA,Illumina HiSeq,no
GCA_013389845.1,Crypturellus soui (birds),Crypturellus soui,80,7/6/20 0:00,B10K Consortium,79009,846765,SAMN12253745,GCA_013389845.1,NA,Illumina HiSeq,no
GCA_013389825.1,Crypturellus undulatus (birds),Crypturellus undulatus,95,7/6/20 0:00,B10K Consortium,99502,387774,SAMN12253746,GCA_013389825.1,NA,Illumina HiSeq,no
GCA_013389985.1,Dryoscopus gambensis (birds),Dryoscopus gambensis,42,7/6/20 0:00,B10K Consortium,29388,113106,SAMN12253866,GCA_013389985.1,NA,Illumina HiSeq,no
GCA_013389945.1,Fregata magnificens (birds),Fregata magnificens,40,7/6/20 0:00,B10K Consortium,35511,145412,SAMN12253859,GCA_013389945.1,NA,Illumina HiSeq,no
GCA_013389885.1,Geococcyx californianus (birds),Geococcyx californianus,60,7/6/20 0:00,B10K Consortium,47040,59473,SAMN12253751,GCA_013389885.1,NA,Illumina HiSeq,no
GCA_013390085.1,Grus americana (Whooping crane),Grus americana,45,7/6/20 0:00,B10K Consortium,46954,266481,SAMN12253918,GCA_013390085.1,NA,Illumina HiSeq,no
GCA_013389865.1,Piaya cayana (squirrel cuckoo),Piaya cayana,64,7/6/20 0:00,B10K Consortium,44041,133717,SAMN12253892,GCA_013389865.1,NA,Illumina HiSeq,no
GCA_013390045.1,Picathartes gymnocephalus (birds),Picathartes gymnocephalus,53,7/6/20 0:00,B10K Consortium,36514,110339,SAMN12253907,GCA_013390045.1,NA,Illumina HiSeq,no
GCA_013390025.1,Pitta sordida (hooded pitta),Pitta sordida,48,7/6/20 0:00,B10K Consortium,41696,176673,SAMN12253864,GCA_013390025.1,NA,Illumina HiSeq,no
GCA_013389905.1,Sula dactylatra (birds),Sula dactylatra,42,7/6/20 0:00,B10K Consortium,38906,156242,SAMN12253860,GCA_013389905.1,NA,Illumina HiSeq,no
GCA_013390105.1,Tichodroma muraria (birds),Tichodroma muraria,52,7/6/20 0:00,B10K Consortium,14901,30899,SAMN12253913,GCA_013390105.1,NA,Illumina HiSeq,no
GCA_013389965.1,Todus mexicanus (puerto rican tody),Todus mexicanus,55,7/6/20 0:00,B10K Consortium,8743,12670,SAMN12253871,GCA_013389965.1,NA,Illumina HiSeq,no
GCA_013398685.1,Acrocephalus arundinaceus (great reed warbler),Acrocephalus arundinaceus,146,7/10/20 0:00,B10K Consortium,92557,336459,SAMN12254005,GCA_013398685.1,NA,Illumina HiSeq,no
GCA_013398125.1,Aegotheles bennettii (birds),Aegotheles bennettii,45,7/10/20 0:00,B10K Consortium,65833,324808,SAMN12253958,GCA_013398125.1,NA,Illumina HiSeq,no
GCA_013398535.1,Agelaius phoeniceus (red-winged blackbird),Agelaius phoeniceus,120,7/10/20 0:00,B10K Consortium,78381,1693451,SAMN12254002,GCA_013398535.1,NA,10X Genomics linked reads,no
GCA_013398995.1,Alaudala cheleensis (Asian short-toed lark),Alaudala cheleensis,81,7/10/20 0:00,B10K Consortium,96766,398825,SAMN12253773,GCA_013398995.1,NA,Illumina HiSeq,no
GCA_013398245.1,Alca torda (razorbill),Alca torda,47,7/10/20 0:00,B10K Consortium,48979,240911,SAMN12253979,GCA_013398245.1,NA,Illumina HiSeq,no
GCA_013401355.1,Alcedo cyanopectus (Indigo-banded kingfisher),Alcedo cyanopectus,70,7/10/20 0:00,B10K Consortium,14890,25847,SAMN12253921,GCA_013401355.1,NA,Illumina HiSeq,no
GCA_013397815.1,Aleadryas rufinucha (rufous-naped whistler),Aleadryas rufinucha,45,7/10/20 0:00,B10K Consortium,90297,367770,SAMN12253938,GCA_013397815.1,NA,Illumina HiSeq,no
GCA_013399715.1,Alectura lathami (australian brush-turkey),Alectura lathami,48,7/10/20 0:00,B10K Consortium,18430,229397,SAMN12253796,GCA_013399715.1,NA,Illumina HiSeq,no
GCA_013399365.1,Alopecoenas beccarii (Western bronze ground-dove),Alopecoenas beccarii,64,7/10/20 0:00,B10K Consortium,126523,674421,SAMN12253886,GCA_013399365.1,NA,Illumina HiSeq,no
GCA_013399615.1,Amazona guildingii (birds),Amazona guildingii,42,7/10/20 0:00,B10K Consortium,61007,275649,SAMN12253802,GCA_013399615.1,NA,Illumina HiSeq,no
GCA_013396435.1,Anhinga anhinga (American anhinga),Anhinga anhinga,52,7/10/20 0:00,B10K Consortium,25978,337495,SAMN12253762,GCA_013396435.1,NA,Illumina HiSeq,no
GCA_013400875.1,Anhinga rufa (African darter),Anhinga rufa,48,7/10/20 0:00,B10K Consortium,12297,16986,SAMN12253935,GCA_013400875.1,NA,Illumina HiSeq,no
GCA_013399115.1,Anseranas semipalmata (magpie goose),Anseranas semipalmata,47,7/10/20 0:00,B10K Consortium,53214,628312,SAMN12253809,GCA_013399115.1,NA,Illumina HiSeq,no
GCA_013399455.1,Anthoscopus minutus (birds),Anthoscopus minutus,55,7/10/20 0:00,B10K Consortium,49651,108848,SAMN12253902,GCA_013399455.1,NA,Illumina HiSeq,no
GCA_013398375.1,Aphelocoma coerulescens (scrub jay),Aphelocoma coerulescens,221,7/10/20 0:00,B10K Consortium,133617,7634200,SAMN12253992,GCA_013398375.1,NA,Illumina HiSeq,no
GCA_013400195.1,Aramus guarauna (limpkin),Aramus guarauna,47,7/10/20 0:00,B10K Consortium,62981,810609,SAMN12253836,GCA_013400195.1,NA,Illumina HiSeq,no
GCA_013396375.1,Ardeotis kori (birds),Ardeotis kori,57,7/10/20 0:00,B10K Consortium,53368,639944,SAMN12253748,GCA_013396375.1,NA,Illumina HiSeq,no
GCA_013399435.1,Arenaria interpres (ruddy turnstone),Arenaria interpres,40,7/10/20 0:00,B10K Consortium,48252,181329,SAMN12253884,GCA_013399435.1,NA,Illumina HiSeq,no
GCA_013398475.1,Asarcornis scutulata (birds),Asarcornis scutulata,110,7/10/20 0:00,B10K Consortium,91211,5635001,SAMN12254003,GCA_013398475.1,NA,10X Genomics linked reads,no
GCA_013401215.1,Atlantisia rogersi (Inaccessible Island rail),Atlantisia rogersi,41,7/10/20 0:00,B10K Consortium,36139,36904,SAMN12254006,GCA_013401215.1,NA,Illumina HiSeq,no
GCA_013400975.1,Atrichornis clamosus (birds),Atrichornis clamosus,94,7/10/20 0:00,B10K Consortium,125279,147592,SAMN12253955,GCA_013400975.1,NA,Illumina HiSeq,no
GCA_013401315.1,Balaeniceps rex (shoebill),Balaeniceps rex,49,7/10/20 0:00,B10K Consortium,24547,60453,SAMN12253916,GCA_013401315.1,NA,Illumina HiSeq,no
GCA_013396935.1,Baryphthengus martii (birds),Baryphthengus martii,44,7/10/20 0:00,B10K Consortium,70136,225352,SAMN12253779,GCA_013396935.1,NA,Illumina HiSeq,no
GCA_013400315.1,Bombycilla garrulus (bohemian waxwing),Bombycilla garrulus,50,7/10/20 0:00,B10K Consortium,64047,615058,SAMN12253844,GCA_013400315.1,NA,Illumina HiSeq,no
GCA_013398615.1,Brachypodius atriceps (black-headed bulbul),Brachypodius atriceps,155,7/10/20 0:00,B10K Consortium,85408,17537833,SAMN12253996,GCA_013398615.1,NA,Illumina HiSeq,no
GCA_013401335.1,Brachypteracias leptosomus (short-legged ground-roller),Brachypteracias leptosomus,62,7/10/20 0:00,B10K Consortium,40314,130665,SAMN12253914,GCA_013401335.1,NA,Illumina HiSeq,no
GCA_013396975.1,Bucco capensis (collared puffbird),Bucco capensis,54,7/10/20 0:00,B10K Consortium,66968,338467,SAMN12253774,GCA_013396975.1,NA,Illumina HiSeq,no
GCA_013398885.1,Bucorvus abyssinicus (Abyssinian ground-hornbill),Bucorvus abyssinicus,93,7/10/20 0:00,B10K Consortium,163894,1077696,SAMN12253919,GCA_013398885.1,NA,Illumina HiSeq,no
GCA_013400855.1,Buphagus erythrorhynchus (red-billed oxpecker),Buphagus erythrorhynchus,50,7/10/20 0:00,B10K Consortium,13219,37415,SAMN12253904,GCA_013400855.1,NA,Illumina HiSeq,no
GCA_013397275.1,Burhinus bistriatus (birds),Burhinus bistriatus,42,7/10/20 0:00,B10K Consortium,46939,409133,SAMN12253814,GCA_013397275.1,NA,Illumina HiSeq,no
GCA_013397715.1,Calcarius ornatus (birds),Calcarius ornatus,73,7/10/20 0:00,B10K Consortium,52433,1242718,SAMN12253923,GCA_013397715.1,NA,Illumina HiSeq,no
GCA_013398955.1,Callaeas wilsoni (North Island kokako),Callaeas wilsoni,123,7/10/20 0:00,B10K Consortium,118426,133026,SAMN12253743,GCA_013398955.1,NA,Illumina HiSeq,no
GCA_013398195.1,Caloenas nicobarica (Nicobar pigeon),Caloenas nicobarica,52,7/10/20 0:00,B10K Consortium,72340,20885367,SAMN12253981,GCA_013398195.1,NA,Illumina HiSeq,no
GCA_013401115.1,Calonectris borealis (Cory's shearwater),Calonectris borealis,130,7/10/20 0:00,B10K Consortium,63034,65340,SAMN12253995,GCA_013401115.1,NA,Illumina HiSeq,no
GCA_013396655.1,Campylorhamphus procurvoides (birds),Campylorhamphus procurvoides,43,7/10/20 0:00,B10K Consortium,152160,1025016,SAMN12253772,GCA_013396655.1,NA,Illumina HiSeq,no
GCA_013397215.1,Cardinalis cardinalis (northern cardinal),Cardinalis cardinalis,53,7/10/20 0:00,B10K Consortium,90773,451346,SAMN12253819,GCA_013397215.1,NA,Illumina HiSeq,no
GCA_013396415.1,Casuarius casuarius (southern cassowary),Casuarius casuarius,70,7/10/20 0:00,B10K Consortium,88589,5669588,SAMN12253744,GCA_013396415.1,NA,Illumina HiSeq,no
GCA_013398975.1,Catharus fuscescens (veery),Catharus fuscescens,45,7/10/20 0:00,B10K Consortium,56061,276328,SAMN12253775,GCA_013398975.1,NA,Illumina HiSeq,no
GCA_013400815.1,Centropus bengalensis (lesser coucal),Centropus bengalensis,56,7/10/20 0:00,B10K Consortium,34951,1149962,SAMN12253924,GCA_013400815.1,NA,Illumina HiSeq,no
GCA_013397695.1,Centropus unirufus (birds),Centropus unirufus,56,7/10/20 0:00,B10K Consortium,79469,2055974,SAMN12253925,GCA_013397695.1,NA,Illumina HiSeq,no
GCA_013396775.1,Cephalopterus ornatus (amazonian umbrellabird),Cephalopterus ornatus,42,7/10/20 0:00,B10K Consortium,75604,292884,SAMN12253765,GCA_013396775.1,NA,Illumina HiSeq,no
GCA_013401065.1,Cepphus grylle (birds),Cepphus grylle,115,7/10/20 0:00,B10K Consortium,39689,16187446,SAMN12253990,GCA_013401065.1,NA,Illumina HiSeq,no
GCA_013398595.1,Cercotrichas coryphoeus (Karoo scrub-robin),Cercotrichas coryphoeus,320,7/10/20 0:00,B10K Consortium,55393,954946,SAMN12253994,GCA_013398595.1,NA,Illumina HiSeq,no
GCA_013400355.1,Certhia brachydactyla (short-toed tree-creeper),Certhia brachydactyla,49,7/10/20 0:00,B10K Consortium,76317,865393,SAMN12253843,GCA_013400355.1,NA,Illumina HiSeq,no
GCA_013398575.1,Certhia familiaris (Eurasian tree-creeper),Certhia familiaris,64,7/10/20 0:00,B10K Consortium,48850,857734,SAMN12253998,GCA_013398575.1,NA,10X Genomics linked reads,no
GCA_013401135.1,Cettia cetti (birds),Cettia cetti,40,7/10/20 0:00,B10K Consortium,62878,64977,SAMN12254007,GCA_013401135.1,NA,Illumina HiSeq,no
GCA_013398935.1,Ceuthmochares aereus (birds),Ceuthmochares aereus,65,7/10/20 0:00,B10K Consortium,29269,163031,SAMN12253749,GCA_013398935.1,NA,Illumina HiSeq,no
