#Organism Name,Organism Groups,Strain,BioSample,BioProject,AssemblyAccession,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,ReleaseOrder,Year,GenBank FTP,RefSeq FTP
Mustela putorius furo,Mammalia,W2606,SAMN13175630,PRJNA580247,GCA_009859225.1,Contig,2461.66,41.5,,WQNB01,1075,0,1/13/2020,1692,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/859/225/GCA_009859225.1_ASM985922v1,
Mustela putorius furo,Mammalia,W1511,SAMN13175627,PRJNA580247,GCA_009859175.1,Contig,2461.39,41.5,,WQMY01,1095,0,1/13/2020,1693,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/859/175/GCA_009859175.1_ASM985917v1,
Mustela putorius furo,Mammalia,P46,SAMN13175628,PRJNA580247,GCA_009859215.1,Contig,2459.86,41.5,,WQMZ01,1004,0,1/13/2020,1694,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/859/215/GCA_009859215.1_ASM985921v1,
Mustela putorius furo,Mammalia,V9676,SAMN13175631,PRJNA580247,GCA_009859245.1,Contig,2459.03,41.5,,WQNC01,860,0,1/13/2020,1695,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/859/245/GCA_009859245.1_ASM985924v1,
Mustela putorius furo,Mammalia,M3971,SAMN13175632,PRJNA580247,GCA_009859265.1,Contig,2459.4,41.5,,WQND01,1062,0,1/13/2020,1696,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/859/265/GCA_009859265.1_ASM985926v1,
Mustela putorius furo,Mammalia,H5856,SAMN13175629,PRJNA580247,GCA_009859235.1,Contig,2462.06,41.5,,WQNA01,1154,0,1/13/2020,1697,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/859/235/GCA_009859235.1_ASM985923v1,
Mustela putorius furo,Mammalia,J9015,SAMN13175626,PRJNA580247,GCA_009859125.1,Contig,2458.52,41.5,,WQMX01,902,0,1/13/2020,1698,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/859/125/GCA_009859125.1_ASM985912v1,
Psittacus erithacus,Aves,MU2MI4XJKV,SAMN12165726,PRJNA551771,GCA_009867235.1,Scaffold,1118.03,41.8,,WYDI01,49377,0,1/14/2020,1699,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/867/235/GCA_009867235.1_ASM986723v1,
Aratinga weddellii,Aves,MP37L3HKH9,SAMN09681954,PRJNA481535,GCA_009867205.1,Scaffold,1114.05,41.9,,WYDH01,65557,0,1/14/2020,1700,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/867/205/GCA_009867205.1_ASM986720v1,
Psittacus timneh,Aves,Z5AY2Y56IY,SAMN12165721,PRJNA547942,GCA_009867315.1,Scaffold,1103.92,41.7,,WYDJ01,73334,0,1/14/2020,1701,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/867/315/GCA_009867315.1_ASM986731v1,
Aratinga solstitialis,Aves,ACLMW497L6,SAMN06181670,PRJNA358718,GCA_009867195.1,Scaffold,1214.69,43.2,,WYDG01,110801,0,1/14/2020,1702,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/867/195/GCA_009867195.1_ASM986719v1,
Culter alburnus,Osteichthyes,TC-2014,SAMN10457884,PRJNA269572,GCA_009869775.1,Scaffold,1017.71,36.4,,RXFN01,5625,0,1/14/2020,1703,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/869/775/GCA_009869775.1_ASM986977v1,
Megalobrama amblycephala,Osteichthyes,BSB-2015,SAMN10457791,PRJNA269572,GCA_009869865.1,Scaffold,1087.9,37,,RXFO01,18243,0,1/14/2020,1704,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/869/865/GCA_009869865.1_ASM986986v1,
Homo sapiens,Mammalia,CHM13,SAMN03255769,PRJNA559484,GCA_009914755.1, Chromosome,2938.46,40.8265,chromosome X:CM020874.1; mitochondrion MT:CM020875.1,WNKB01,359,0,1/22/2020,1705,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/914/755/GCA_009914755.1_T2T_v0.7,
Anodorhynchus hyacinthinus,Aves,LEKZKR9XQ3,SAMN09689126,PRJNA481562,GCA_009936445.1,Scaffold,1119.46,41.6,,WOUG01,73334,0,1/27/2020,1706,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/936/445/GCA_009936445.1_ASM993644v1,
Lontra canadensis,Mammalia,GAN:19392208,SAMN13049247,PRJNA611578,GCA_010015895.1,Scaffold,2405.75,41.4,,WMAJ01,7023,48337,1/27/2020,1707,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/015/895/GCA_010015895.1_GSC_riverotter_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/015/895/GCF_010015895.1_GSC_riverotter_1.0
Homo sapiens,Mammalia,HG03125,SAMN12162847,PRJNA551670,GCA_009935935.1,Contig,2923.23,40.9,,JAABOD01,1465,0,1/27/2020,1708,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/935/935/GCA_009935935.1_HG03125_prelim_1.0,
Gymnarchus niloticus,Osteichthyes,SDUMVBZ3V8,SAMN08214438,PRJNA423259,GCA_009936485.1,Scaffold,653.962,43.3,,JAACJT01,54167,0,1/27/2020,1709,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/936/485/GCA_009936485.1_ASM993648v1,
Ara militaris,Aves,6PT2692UNM,SAMN11250506,PRJNA528956,GCA_010015965.1,Scaffold,1177.23,42.6,,JAAAKA01,463224,0,1/30/2020,1710,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/015/965/GCA_010015965.1_ASM1001596v1,
Ara ararauna,Aves,MTNHZMC1CF,SAMN10247388,PRJNA497082,GCA_010014805.1,Scaffold,1128.18,41.9,,JAAAKF01,70001,0,1/30/2020,1711,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/014/805/GCA_010014805.1_ASM1001480v1,
Pyrrhura frontalis,Aves,M1J7V1LEPS,SAMN09681955,PRJNA481541,GCA_010014865.1,Scaffold,1112.82,41.9,,JAAAKN01,74778,0,1/30/2020,1712,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/014/865/GCA_010014865.1_ASM1001486v1,
Psitteuteles goldiei,Aves,Piper_X7F3MAPY5K,SAMN10247382,PRJNA497076,GCA_010014875.1,Scaffold,1125.67,42.1,,JAAAKH01,69999,0,1/30/2020,1713,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/014/875/GCA_010014875.1_ASM1001487v1,
Lorius garrulus,Aves,Tuckie_XQVJVZF3ZU,SAMN09580627,PRJNA479580,GCA_010014925.1,Scaffold,1091.73,41.9,,JAAAKI01,64445,0,1/30/2020,1714,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/014/925/GCA_010014925.1_ASM1001492v1,
Pyrrhura griseipectus,Aves,9DNWD0V6IF,SAMN13698507,PRJNA598107,GCA_010014965.1,Scaffold,1129.19,41.9,,JAAAKS01,75556,0,1/30/2020,1715,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/014/965/GCA_010014965.1_ASM1001496v1,
Cacatua leadbeateri,Aves,NFDCT17Z3U,SAMN11250505,PRJNA528955,GCA_010015045.1,Scaffold,1069.98,41.5,,JAAAKP01,72221,0,1/30/2020,1716,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/015/045/GCA_010015045.1_ASM1001504v1,
Ara chloropterus,Aves,8YR9EQLDWU,SAMN11250489,PRJNA528950,GCA_010014725.1,Scaffold,1117.85,43.8,,WSYR01,330027,0,1/30/2020,1717,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/014/725/GCA_010014725.1_ASM1001472v1,
Ara glaucogularis,Aves,Bonita_KZU2RREV2U,SAMN10247383,PRJNA497077,GCA_010015425.1,Scaffold,1135.11,41.9,,JAAAKJ01,74445,0,1/30/2020,1718,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/015/425/GCA_010015425.1_ASM1001542v1,
Mustela putorius furo,Mammalia,M1713,SAMN13175625,PRJNA580247,GCA_010015535.1,Contig,2458.84,41.5,,WYDY01,1453,0,1/30/2020,1719,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/015/535/GCA_010015535.1_M1713,
Syngnathus floridae,Osteichthyes,RB5K3AAIWP,SAMN09688109,PRJNA481557,GCA_010014945.1,Scaffold,367.728,43.7,,JAAAKK01,138891,0,1/30/2020,1720,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/014/945/GCA_010014945.1_ASM1001494v1,
Perca fluviatilis,Osteichthyes,,SAMN12071746,PRJNA549142,GCA_010015445.1, Chromosome,951.363,40.9061,chromosome 1:CM020909.1; chromosome 2:CM020910.1; chromosome 3:CM020911.1; chromosome 4:CM020912.1; chromosome 5:CM020913.1; chromosome 6:CM020914.1; chromosome 7:CM020915.1; chromosome 8:CM020916.1; chromosome 9:CM020917.1; chromosome 10:CM020918.1; chromosome 11:CM020919.1; chromosome 12:CM020920.1; chromosome 13:CM020921.1; chromosome 14:CM020922.1; chromosome 15:CM020923.1; chromosome 16:CM020924.1; chromosome 17:CM020925.1; chromosome 18:CM020926.1; chromosome 19:CM020927.1; chromosome 20:CM020928.1; chromosome 21:CM020929.1; chromosome 22:CM020930.1; chromosome 23:CM020931.1; chromosome 24:CM020932.1; mitochondrion MT:CM020933.1,VHII01,304,24326,1/30/2020,1721,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/015/445/GCA_010015445.1_GENO_Pfluv_1.0,
Eudyptula minor,Aves,Gonzo,SAMN12384879,PRJNA556735,GCA_010080355.1,Scaffold,1462.62,40.1,,VULC01,22396,15672,1/31/2020,1722,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/080/355/GCA_010080355.1_BGI_Emin.V1,
Eudyptes chrysocome,Aves,RH 110-1,SAMN12384872,PRJNA556735,GCA_010085355.1,Scaffold,1231.06,40.9,,VULL01,3371,12871,1/31/2020,1723,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/085/355/GCA_010085355.1_BGI_Echrysoc.V1,
Aptenodytes patagonicus,Aves,KP FORT 001,SAMN12384866,PRJNA556735,GCA_010087175.1,Scaffold,1252.29,41,,VULM01,15968,13942,1/31/2020,1724,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/087/175/GCA_010087175.1_BGI_Apat.V1,
Pygoscelis antarcticus,Aves,CP TH 060,SAMN12384868,PRJNA556735,GCA_010078415.1,Scaffold,1260.45,41,,VUKZ01,16691,14226,1/31/2020,1725,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/078/415/GCA_010078415.1_BGI_Pant.V1,
Spheniscus demersus,Aves,AP 173,SAMN12384881,PRJNA556735,GCA_010077935.1,Scaffold,1275.04,40.3,,VUKX01,15338,14240,1/31/2020,1726,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/077/935/GCA_010077935.1_BGI_Sdem.V1,
Spheniscus magellanicus,Aves,AH 6,SAMN12384882,PRJNA556735,GCA_010076225.1,Scaffold,1260.23,41.4,,VUKV01,13422,15289,1/31/2020,1727,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/076/225/GCA_010076225.1_BGI_Smag.V1,
Spheniscus humboldti,Aves,Z-67-15,SAMN12384883,PRJNA556735,GCA_010076325.1,Scaffold,1239.25,41.2,,VUKW01,11265,15093,1/31/2020,1728,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/076/325/GCA_010076325.1_BGI_Shum.V1,
Eudyptes filholi,Aves,GS 12,SAMN12384873,PRJNA556735,GCA_010085365.1,Scaffold,1223.98,41,,VULK01,2312,12955,1/31/2020,1729,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/085/365/GCA_010085365.1_BGI_Echrysoc_fil.V1,
Megadyptes antipodes antipodes,Aves,OT 2 9/2/18,SAMN12384877,PRJNA556735,GCA_010078485.1,Scaffold,1314.94,40.3,,VULA01,17379,14596,1/31/2020,1730,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/078/485/GCA_010078485.1_BGI_Mant.V1,
Eudyptula novaehollandiae,Aves,10/9/18-1,SAMN12384878,PRJNA556735,GCA_010078495.1,Scaffold,1353.67,40.8,,VULB01,15946,15149,1/31/2020,1731,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/078/495/GCA_010078495.1_BGI_Enov.V1,
Eudyptes schlegeli,Aves,4458,SAMN12384870,PRJNA556735,GCA_010080425.1,Scaffold,1308.18,40.5,,VULF01,17083,15790,1/31/2020,1732,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/080/425/GCA_010080425.1_BGI_Esch.V1,
Eudyptula albosignata,Aves,Fred,SAMN12384880,PRJNA556735,GCA_010080465.1,Scaffold,1370.51,40.5,,VULD01,18591,15477,1/31/2020,1733,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/080/465/GCA_010080465.1_BGI_Emin_alb.V1,
Eudyptes moseleyi,Aves,NRP 118-1,SAMN12384871,PRJNA556735,GCA_010082375.1,Scaffold,1301.65,40.2,,VULI01,20381,15514,1/31/2020,1734,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/082/375/GCA_010082375.1_BGI_Emos.V1,
Eudyptes chrysolophus,Aves,MP PEI 1,SAMN12384869,PRJNA556735,GCA_010084205.1,Scaffold,1365.7,40.9,,VULJ01,15753,15079,1/31/2020,1735,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/084/205/GCA_010084205.1_BGI_Echrysol.V1,
Eudyptes robustus,Aves,68M 28/09/13,SAMN12384876,PRJNA556735,GCA_010085315.1,Scaffold,1241.68,41.6,,VULG01,62719,15559,1/31/2020,1736,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/085/315/GCA_010085315.1_BGI_Erob.V1,
Eudyptes pachyrhynchus,Aves,MS 9,SAMN12384875,PRJNA556735,GCA_010085335.1,Scaffold,1295.51,41,,VULH01,52188,17571,1/31/2020,1737,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/085/335/GCA_010085335.1_BGI_Epac.V1,
Eudyptes sclateri,Aves,Ant 5,SAMN12384874,PRJNA556735,GCA_010078445.1,Scaffold,1211.4,41.1,,VULE01,3484,12811,1/31/2020,1738,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/078/445/GCA_010078445.1_BGI_Escl.V1,
Pygoscelis papua,Aves,DNA -4,SAMN12384867,PRJNA556735,GCA_010090195.1,Scaffold,1306.94,41.1,,VUKY01,18750,14896,1/31/2020,1739,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/090/195/GCA_010090195.1_BGI_Ppap.V1,
Spheniscus mendiculus,Aves,GAPE 212,SAMN12384884,PRJNA556735,GCA_010077915.1,Scaffold,1298.74,41.4,,VUKU01,27218,14673,1/31/2020,1740,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/077/915/GCA_010077915.1_BGI_Smen.V1,
Tyto alba alba,Aves,,SAMEA5733888,PRJEB33158,GCA_902150015.1,Scaffold,1219.19,41.6,,CABFVR01,21509,32967,2/3/2020,1741,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/150/015/GCA_902150015.1_genome_assembly_l500,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/150/015/GCF_902150015.1_genome_assembly_l500
Larimichthys polyactis,Osteichthyes,SYC201911,SAMN13220413,PRJNA587872,GCA_010119295.1,Scaffold,694.447,37.2,,WMHY01,107847,0,2/3/2020,1742,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/119/295/GCA_010119295.1_ASM1011929v1,
Falco tinnunculus,Aves,ck-nibr-243,SAMN08398480,PRJNA431699,GCA_010332995.1,Scaffold,1179.9,42,,PYXA01,69109,0,2/4/2020,1743,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/332/995/GCA_010332995.1_FalTin1.0,
Bubo bubo,Aves,eeo-nibr-513,SAMN08398466,PRJNA431699,GCA_010303855.1,Scaffold,1258.07,41.6,,PYWY01,35666,0,2/4/2020,1744,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/303/855/GCA_010303855.1_BubBub1.0,
Otus sunia,Aves,oso-nibr-517,SAMN08398467,PRJNA431699,GCA_010365825.1,Scaffold,1231.43,41.4,,PYXB01,108826,0,2/4/2020,1745,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/365/825/GCA_010365825.1_OtuSun1.0,
Buteo japonicus,Aves,eb-nibr-220,SAMN08398473,PRJNA431699,GCA_010312235.1,Scaffold,1259.72,41.8,,PYWZ01,29199,0,2/4/2020,1746,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/312/235/GCA_010312235.1_ButJap1.0,
Rhombomys opimus,Mammalia,Great_gerbil_Xinjiang_2013_1,SAMN10089360,PRJNA491814,GCA_010120015.1,Scaffold,2376.01,39.3,,REGO01,6389,0,2/4/2020,1747,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/120/015/GCA_010120015.1_ASM1012001v1,
Homo sapiens,Mammalia,HG01567,SAMN13207431,PRJNA587727,GCA_010279795.1,Contig,2857.96,40.9,,JAAGKU01,1679,0,2/6/2020,1748,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/279/795/GCA_010279795.1_HG01567_prelim_1.0,
Poeciliopsis retropinna,Osteichthyes,HVK001,SAMN12288624,PRJNA555005,GCA_010277075.1,Scaffold,621.859,38.8002,mitochondrion MT:CM021098.1,VMRM01,78,0,2/6/2020,1749,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/277/075/GCA_010277075.1_ASM1027707v1,
Poeciliopsis turrubarensis,Osteichthyes,HVK002,SAMN12288626,PRJNA555006,GCA_010277015.1,Scaffold,596.997,39,,VMRN01,5396,0,2/6/2020,1750,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/277/015/GCA_010277015.1_ASM1027701v1,
Anguilla marmorata,Osteichthyes,,SAMEA5568835,PRJEB32187,GCA_901111315.1,Scaffold,882.007,43.3,,CAAKNA01,38756,0,2/7/2020,1751,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/111/315/GCA_901111315.1_Anguilla_marmorata_assembly,
Anguilla megastoma,Osteichthyes,,SAMEA5568836,PRJEB32187,GCA_901111305.1,Scaffold,877.766,43.2,,CAAKMX01,40052,0,2/7/2020,1752,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/111/305/GCA_901111305.1_Anguilla_megastoma_assembly,
Anguilla obscura,Osteichthyes,,SAMEA5568837,PRJEB32187,GCA_901111295.1,Scaffold,882.39,43.4,,CAAKMZ01,43284,0,2/7/2020,1753,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/111/295/GCA_901111295.1_Anguilla_obscura_assembly,
Mustela putorius furo,Mammalia,O_273589Z,SAMN13175624,PRJNA580247,GCA_010367565.1,Contig,2451.93,41.5,,WXYJ01,2426,0,2/10/2020,1754,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/367/565/GCA_010367565.1_ASM1036756v1,
Mustela putorius furo,Mammalia,MF-122017F,SAMN13175623,PRJNA580247,GCA_010367575.1,Contig,2450.63,41.5,,WXYK01,2047,0,2/10/2020,1755,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/367/575/GCA_010367575.1_ASM1036757v1,
Cervus hanglu yarkandensis,Mammalia,CEY-2017,SAMN12710658,PRJNA564362,GCA_010411085.1, Chromosome,2594.11,41.577,chromosome X:CM021225.1; chromosome 1:CM021192.1; chromosome 2:CM021193.1; chromosome 3:CM021194.1; chromosome 4:CM021195.1; chromosome 5:CM021196.1; chromosome 6:CM021197.1; chromosome 7:CM021198.1; chromosome 8:CM021199.1; chromosome 9:CM021200.1; chromosome 10:CM021201.1; chromosome 11:CM021202.1; chromosome 12:CM021203.1; chromosome 13:CM021204.1; chromosome 14:CM021205.1; chromosome 15:CM021206.1; chromosome 16:CM021207.1; chromosome 17:CM021208.1; chromosome 18:CM021209.1; chromosome 19:CM021210.1; chromosome 20:CM021211.1; chromosome 21:CM021212.1; chromosome 22:CM021213.1; chromosome 23:CM021214.1; chromosome 24:CM021215.1; chromosome 25:CM021216.1; chromosome 26:CM021217.1; chromosome 27:CM021218.1; chromosome 28:CM021219.1; chromosome 29:CM021220.1; chromosome 30:CM021221.1; chromosome 31:CM021222.1; chromosome 32:CM021223.1; chromosome 33:CM021224.1,WMHW01,17927,19312,2/11/2020,1756,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/411/085/GCA_010411085.1_CEY_v1,
Homo sapiens,Mammalia,NA21309,SAMN11308573,PRJNA530217,GCA_010580585.1,Contig,2896.65,41,,JAAIFL01,1252,0,2/13/2020,1757,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/580/585/GCA_010580585.1_NA21309_prelim_1.0,
Homo sapiens,Mammalia,HG03719,SAMN13207434,PRJNA587728,GCA_010580605.1,Contig,2877.49,40.9,,JAAIIE01,1771,0,2/13/2020,1758,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/580/605/GCA_010580605.1_HG03719_prelim_1.0,
Camarhynchus parvulus,Aves,,SAMEA6542012,PRJEB36748,GCA_902806625.1, Chromosome,1064.02,42.4896,chromosome 1:LR761571.1; chromosome 2:LR761570.1; chromosome 3:LR761572.1; chromosome 4:LR761575.1; chromosome 5:LR761576.1; chromosome 6:LR761578.1; chromosome 7:LR761577.1; chromosome 8:LR761579.1; chromosome 9:LR761580.1; chromosome 10:LR761583.1; chromosome 11:LR761581.1; chromosome 12:LR761582.1; chromosome 13:LR761585.1; chromosome 14:LR761586.1; chromosome 15:LR761588.1; chromosome 1A:LR761574.1; chromosome 17:LR761590.1; chromosome 18:LR761589.1; chromosome 19:LR761591.1; chromosome 20:LR761587.1; chromosome 21:LR761592.1; chromosome 22:LR761598.1; chromosome 23:LR761594.1; chromosome 24:LR761593.1; chromosome 25:LR761599.1; chromosome 26:LR761595.1; chromosome 27:LR761597.1; chromosome 28:LR761596.1; chromosome 4A:LR761584.1; chromosome Z:LR761573.1,CADCXG01,1756,0,2/14/2020,1759,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/806/625/GCA_902806625.1_Camarhynchus_parvulus_V1.1,
Amblyraja radiata,Chondrichthyes,CabotCenter1,SAMN09948523,PRJNA591368,GCA_010909745.1,Scaffold,1462.44,44.6,,JAAGWS01,21992,0,2/14/2020,1760,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/909/745/GCA_010909745.1_sAmbRad1.alt,
Amblyraja radiata,Chondrichthyes,CabotCenter1,SAMN09948523,PRJNA610638,GCA_010909765.1, Chromosome,2558.78,44.7139,chromosome 1:NC_045956.1/CM021366.1; chromosome 2:NC_045957.1/CM021367.1; chromosome 3:NC_045958.1/CM021368.1; chromosome 4:NC_045959.1/CM021369.1; chromosome 5:NC_045960.1/CM021370.1; chromosome 6:NC_045961.1/CM021371.1; chromosome 7:NC_045962.1/CM021372.1; chromosome 8:NC_045963.1/CM021373.1; chromosome 9:NC_045964.1/CM021374.1; chromosome 10:NC_045965.1/CM021375.1; chromosome 11:NC_045966.1/CM021376.1; chromosome 12:NC_045967.1/CM021377.1; chromosome 13:NC_045968.1/CM021378.1; chromosome 14:NC_045969.1/CM021379.1; chromosome 15:NC_045970.1/CM021380.1; chromosome 16:NC_045971.1/CM021381.1; chromosome 17:NC_045972.1/CM021382.1; chromosome 18:NC_045973.1/CM021383.1; chromosome 19:NC_045974.1/CM021384.1; chromosome 20:NC_045975.1/CM021385.1; chromosome 21:NC_045976.1/CM021386.1; chromosome 22:NC_045977.1/CM021387.1; chromosome 23:NC_045978.1/CM021388.1; chromosome 24:NC_045979.1/CM021389.1; chromosome 25:NC_045980.1/CM021390.1; chromosome 26:NC_045981.1/CM021391.1; chromosome 27:NC_045982.1/CM021392.1; chromosome 28:NC_045983.1/CM021393.1; chromosome 29:NC_045984.1/CM021394.1; chromosome 30:NC_045985.1/CM021395.1; chromosome 31:NC_045986.1/CM021396.1; chromosome 32:NC_045987.1/CM021397.1; chromosome 33:NC_045988.1/CM021398.1; chromosome 34:NC_045989.1/CM021399.1; chromosome 35:NC_045990.1/CM021400.1; chromosome 36:NC_045991.1/CM021401.1; chromosome 37:NC_045992.1/CM021402.1; chromosome 38:NC_045993.1/CM021403.1; chromosome 39:NC_045994.1/CM021404.1; chromosome 40:NC_045995.1/CM021405.1; chromosome 41:NC_045996.1/CM021406.1; chromosome 42:NC_045997.1/CM021407.1; chromosome 43:NC_045998.1/CM021408.1; chromosome 44:NC_045999.1/CM021409.1; chromosome 45:NC_046000.1/CM021410.1; chromosome 46:NC_046001.1/CM021411.1; chromosome 47:NC_046002.1/CM021412.1; chromosome 48:NC_046003.1/CM021413.1; chromosome 49:NC_046004.1/CM021414.1; mitochondrion MT:CM021416.1,JAAGWR01,957,38895,2/14/2020,1761,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/909/765/GCA_010909765.1_sAmbRad1.pri,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/909/765/GCF_010909765.1_sAmbRad1.pri
Homo sapiens,Mammalia,,SAMN13168751,PRJNA593501,GCA_010646975.1,Contig,2766.64,40.9,,WUWK01,2597,0,2/14/2020,1762,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/646/975/GCA_010646975.1_ASM1064697v1,
Homo sapiens,Mammalia,,SAMN13168751,PRJNA593499,GCA_010645205.1,Contig,2766.59,41,,WUWJ01,2597,0,2/14/2020,1763,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/645/205/GCA_010645205.1_ASM1064520v1,
Homo sapiens,Mammalia,,SAMN13168751,PRJNA593496,GCA_010646935.1,Contig,2766.46,41,,WUWL01,2597,0,2/14/2020,1764,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/646/935/GCA_010646935.1_ASM1064693v1,
