Organism Groups,AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmissionYear,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
Mammalia,GCA_015120705.1,Homo sapiens (human),Homo sapiens,63.4063,10/29/2020,2020,Academia Sinica,159971,36052114,SAMN14178744,NA,NA,NA,NA
Mammalia,GCA_015120605.1,Homo sapiens (human),Homo sapiens,58.3798,10/29/2020,2020,Academia Sinica,159936,34931467,SAMN14178745,NA,NA,NA,NA
Mammalia,GCA_015120635.1,Homo sapiens (human),Homo sapiens,63.4063,10/29/2020,2020,Academia Sinica,159897,36063915,SAMN14178744,NA,NA,NA,NA
Mammalia,GCA_015109095.1,Homo sapiens (human),Homo sapiens,57.9348,10/29/2020,2020,Academia Sinica,159884,32548592,SAMN14178727,NA,NA,NA,NA
Mammalia,GCA_015120665.1,Homo sapiens (human),Homo sapiens,58.3798,10/29/2020,2020,Academia Sinica,159858,34999242,SAMN14178745,NA,NA,NA,NA
Mammalia,GCA_015147135.1,Homo sapiens (human),Homo sapiens,50.8309,10/30/2020,2020,"University of California, San Francisco",159848,40612238,SAMN14253735,NA,NA,NA,NA
Mammalia,GCA_015147685.1,Homo sapiens (human),Homo sapiens,50.8309,10/30/2020,2020,"University of California, San Francisco",159768,40589879,SAMN14253735,NA,NA,NA,NA
Mammalia,GCA_015101755.1,Homo sapiens (human),Homo sapiens,66.4322,10/29/2020,2020,Academia Sinica,159742,37367567,SAMN14178718,NA,NA,NA,NA
Mammalia,GCA_015146515.1,Homo sapiens (human),Homo sapiens,52.9,10/30/2020,2020,"University of California, San Francisco",159389,29122025,SAMN01090994,NA,NA,NA,NA
Mammalia,GCA_015101675.1,Homo sapiens (human),Homo sapiens,56.9496,10/29/2020,2020,Academia Sinica,159363,39538459,SAMN14178719,NA,NA,NA,NA
Mammalia,GCA_015101655.1,Homo sapiens (human),Homo sapiens,56.9496,10/29/2020,2020,Academia Sinica,159338,39528123,SAMN14178719,NA,NA,NA,NA
Mammalia,GCA_015101705.1,Homo sapiens (human),Homo sapiens,66.4322,10/29/2020,2020,Academia Sinica,159217,37358972,SAMN14178718,NA,NA,NA,NA
Mammalia,GCA_015093335.1,Homo sapiens (human),Homo sapiens,58.2657,10/29/2020,2020,Academia Sinica,159164,40392898,SAMN14178709,NA,NA,NA,NA
Mammalia,GCA_015081335.1,Homo sapiens (human),Homo sapiens,56.5511,10/29/2020,2020,Academia Sinica,159145,39658966,SAMN14178704,NA,NA,NA,NA
Mammalia,GCA_015146315.1,Homo sapiens (human),Homo sapiens,52.9,10/30/2020,2020,"University of California, San Francisco",159090,31156039,SAMN01090994,NA,NA,NA,NA
Mammalia,GCA_015089695.1,Homo sapiens (human),Homo sapiens,58.2657,10/29/2020,2020,Academia Sinica,159076,43897344,SAMN14178709,NA,NA,NA,NA
Mammalia,GCA_015076165.1,Homo sapiens (human),Homo sapiens,73.0167,10/29/2020,2020,Academia Sinica,159020,37047859,SAMN14178697,NA,NA,NA,NA
Mammalia,GCA_015076135.1,Homo sapiens (human),Homo sapiens,73.0167,10/29/2020,2020,Academia Sinica,158802,37043409,SAMN14178697,NA,NA,NA,NA
Mammalia,GCA_015121645.1,Homo sapiens (human),Homo sapiens,50.2383,10/29/2020,2020,Academia Sinica,158666,55819703,SAMN14178750,NA,NA,NA,NA
Mammalia,GCA_015121625.1,Homo sapiens (human),Homo sapiens,50.2383,10/29/2020,2020,Academia Sinica,158657,55818604,SAMN14178750,NA,NA,NA,NA
Mammalia,GCA_015081215.1,Homo sapiens (human),Homo sapiens,56.5511,10/29/2020,2020,Academia Sinica,158512,39649392,SAMN14178704,NA,NA,NA,NA
Mammalia,GCA_015126875.1,Homo sapiens (human),Homo sapiens,55.935,10/29/2020,2020,Academia Sinica,158371,49894688,SAMN14178773,NA,NA,NA,NA
Mammalia,GCA_015126915.1,Homo sapiens (human),Homo sapiens,55.935,10/29/2020,2020,Academia Sinica,158266,49871532,SAMN14178773,NA,NA,NA,NA
Mammalia,GCA_015146475.1,Homo sapiens (human),Homo sapiens,55.2383,10/30/2020,2020,"University of California, San Francisco",157921,22194602,SAMN01090993,NA,NA,NA,NA
Mammalia,GCA_015098195.1,Homo sapiens (human),Homo sapiens,58.6131,10/29/2020,2020,Academia Sinica,157800,43410930,SAMN14178714,NA,NA,NA,NA
Mammalia,GCA_015146195.1,Homo sapiens (human),Homo sapiens,55.2383,10/30/2020,2020,"University of California, San Francisco",157695,22188534,SAMN01090993,NA,NA,NA,NA
Mammalia,GCA_015075045.1,Homo sapiens (human),Homo sapiens,58.218,10/29/2020,2020,Academia Sinica,157694,42036344,SAMN14178688,NA,NA,NA,NA
Mammalia,GCA_015110585.1,Homo sapiens (human),Homo sapiens,55.4574,10/29/2020,2020,Academia Sinica,157684,31805117,SAMN14178731,NA,NA,NA,NA
Mammalia,GCA_015076085.1,Homo sapiens (human),Homo sapiens,52.8001,10/29/2020,2020,Academia Sinica,157538,39751565,SAMN14178696,NA,NA,NA,NA
Mammalia,GCA_015098235.1,Homo sapiens (human),Homo sapiens,58.6131,10/29/2020,2020,Academia Sinica,157519,43410033,SAMN14178714,NA,NA,NA,NA
Mammalia,GCA_015147405.1,Homo sapiens (human),Homo sapiens,46.8769,10/30/2020,2020,"University of California, San Francisco",157505,39595181,SAMN14253723,NA,NA,NA,NA
Mammalia,GCA_015159295.1,Homo sapiens (human),Homo sapiens,46.7933,10/30/2020,2020,Academia Sinica,157471,44992803,SAMN14178828,NA,NA,NA,NA
Mammalia,GCA_015110535.1,Homo sapiens (human),Homo sapiens,55.4574,10/29/2020,2020,Academia Sinica,157464,31799652,SAMN14178731,NA,NA,NA,NA
Mammalia,GCA_015121975.1,Homo sapiens (human),Homo sapiens,59.2772,10/29/2020,2020,Academia Sinica,157460,56679351,SAMN14178758,NA,NA,NA,NA
Mammalia,GCA_015122005.1,Homo sapiens (human),Homo sapiens,59.2772,10/29/2020,2020,Academia Sinica,157414,56667104,SAMN14178758,NA,NA,NA,NA
Mammalia,GCA_015075845.1,Homo sapiens (human),Homo sapiens,58.218,10/29/2020,2020,Academia Sinica,157396,42051459,SAMN14178688,NA,NA,NA,NA
Mammalia,GCA_015147025.1,Homo sapiens (human),Homo sapiens,46.8769,10/30/2020,2020,"University of California, San Francisco",157345,38239557,SAMN14253723,NA,NA,NA,NA
Mammalia,GCA_015159315.1,Homo sapiens (human),Homo sapiens,46.7933,10/30/2020,2020,Academia Sinica,157287,45014312,SAMN14178828,NA,NA,NA,NA
Mammalia,GCA_015145955.1,Homo sapiens (human),Homo sapiens,55.2838,10/30/2020,2020,"University of California, San Francisco",157283,29498572,SAMN00779963,NA,NA,NA,NA
Mammalia,GCA_015125915.1,Homo sapiens (human),Homo sapiens,51.6897,10/29/2020,2020,Academia Sinica,157261,55314708,SAMN14178769,NA,NA,NA,NA
Mammalia,GCA_015145775.1,Homo sapiens (human),Homo sapiens,55.2838,10/30/2020,2020,"University of California, San Francisco",157198,28920439,SAMN00779963,NA,NA,NA,NA
Mammalia,GCA_015076205.1,Homo sapiens (human),Homo sapiens,52.8001,10/29/2020,2020,Academia Sinica,157115,39749222,SAMN14178696,NA,NA,NA,NA
Mammalia,GCA_015125955.1,Homo sapiens (human),Homo sapiens,51.6897,10/29/2020,2020,Academia Sinica,157078,55300105,SAMN14178769,NA,NA,NA,NA
Mammalia,GCA_015107275.1,Homo sapiens (human),Homo sapiens,55.6937,10/29/2020,2020,Academia Sinica,157040,39341556,SAMN14178726,NA,NA,NA,NA
Mammalia,GCA_015100115.1,Homo sapiens (human),Homo sapiens,56.4418,10/29/2020,2020,Academia Sinica,156944,46029718,SAMN14178716,NA,NA,NA,NA
Mammalia,GCA_015107195.1,Homo sapiens (human),Homo sapiens,55.6937,10/29/2020,2020,Academia Sinica,156808,39341185,SAMN14178726,NA,NA,NA,NA
Mammalia,GCA_015147725.1,Homo sapiens (human),Homo sapiens,51.3207,10/30/2020,2020,"University of California, San Francisco",156783,38456168,SAMN14253745,NA,NA,NA,NA
Mammalia,GCA_015095795.1,Homo sapiens (human),Homo sapiens,45.5712,10/29/2020,2020,Academia Sinica,156781,40959256,SAMN14178713,NA,NA,NA,NA
Mammalia,GCA_015095755.1,Homo sapiens (human),Homo sapiens,45.5712,10/29/2020,2020,Academia Sinica,156734,40977749,SAMN14178713,NA,NA,NA,NA
Mammalia,GCA_015147465.1,Homo sapiens (human),Homo sapiens,51.3207,10/30/2020,2020,"University of California, San Francisco",156529,38463331,SAMN14253745,NA,NA,NA,NA
Mammalia,GCA_015100055.1,Homo sapiens (human),Homo sapiens,56.4418,10/29/2020,2020,Academia Sinica,156481,46022845,SAMN14178716,NA,NA,NA,NA
Mammalia,GCA_015102375.1,Homo sapiens (human),Homo sapiens,52.8235,10/29/2020,2020,Academia Sinica,156347,44517797,SAMN14178721,NA,NA,NA,NA
Mammalia,GCA_015147765.1,Homo sapiens (human),Homo sapiens,53.9937,10/30/2020,2020,"University of California, San Francisco",156313,34536584,SAMN14253742,NA,NA,NA,NA
Mammalia,GCA_015102455.1,Homo sapiens (human),Homo sapiens,52.8235,10/29/2020,2020,Academia Sinica,156312,44499507,SAMN14178721,NA,NA,NA,NA
Mammalia,GCA_015076225.1,Homo sapiens (human),Homo sapiens,58.656,10/29/2020,2020,Academia Sinica,156256,38580452,SAMN14178700,NA,NA,NA,NA
Mammalia,GCA_015078955.1,Homo sapiens (human),Homo sapiens,58.656,10/29/2020,2020,Academia Sinica,156190,38579420,SAMN14178700,NA,NA,NA,NA
Mammalia,GCA_015147525.1,Homo sapiens (human),Homo sapiens,53.9937,10/30/2020,2020,"University of California, San Francisco",156178,34536369,SAMN14253742,NA,NA,NA,NA
Mammalia,GCA_015149995.1,Homo sapiens (human),Homo sapiens,49.5808,10/30/2020,2020,"University of California, San Francisco",156116,31286975,SAMN14253794,NA,NA,NA,NA
Mammalia,GCA_015112335.1,Homo sapiens (human),Homo sapiens,38.3196,10/29/2020,2020,Academia Sinica,156076,32754590,SAMN14178733,NA,NA,NA,NA
Mammalia,GCA_015112975.1,Homo sapiens (human),Homo sapiens,38.3196,10/29/2020,2020,Academia Sinica,156051,32762173,SAMN14178733,NA,NA,NA,NA
Mammalia,GCA_015146555.1,Homo sapiens (human),Homo sapiens,48.6062,10/30/2020,2020,"University of California, San Francisco",155971,31226146,SAMN01090941,NA,NA,NA,NA
Mammalia,GCA_902460195.1,Mustela putorius (European polecat),Mustela putorius,77,8/28/2019,2019,EI,155906,255131,SAMEA5818864,NA,NA,NA,NA
Mammalia,GCA_902460225.1,Mustela putorius (European polecat),Mustela putorius,77,8/28/2019,2019,EI,155906,623563,SAMEA5818864,NA,NA,NA,NA
Mammalia,GCA_902460235.1,Mustela putorius (European polecat),Mustela putorius,107,8/28/2019,2019,EI,155906,4532255,SAMEA5818864,NA,NA,NA,NA
Mammalia,GCA_015150795.1,Homo sapiens (human),Homo sapiens,49.5808,10/30/2020,2020,"University of California, San Francisco",155781,31329054,SAMN14253794,NA,NA,NA,NA
Mammalia,GCA_015075905.1,Homo sapiens (human),Homo sapiens,52.0605,10/29/2020,2020,Academia Sinica,155655,48571026,SAMN14178691,NA,NA,NA,NA
Mammalia,GCA_015146295.1,Homo sapiens (human),Homo sapiens,48.6062,10/30/2020,2020,"University of California, San Francisco",155620,31229057,SAMN01090941,NA,NA,NA,NA
Mammalia,GCA_015086755.1,Homo sapiens (human),Homo sapiens,55.6983,10/29/2020,2020,Academia Sinica,155575,45717883,SAMN14178705,NA,NA,NA,NA
Mammalia,GCA_015143235.1,Homo sapiens (human),Homo sapiens,52.0605,10/30/2020,2020,Academia Sinica,155572,48577817,SAMN14178691,NA,NA,NA,NA
Mammalia,GCA_015086825.1,Homo sapiens (human),Homo sapiens,55.6983,10/29/2020,2020,Academia Sinica,155408,45701333,SAMN14178705,NA,NA,NA,NA
Mammalia,GCA_015145915.1,Homo sapiens (human),Homo sapiens,56.6204,10/30/2020,2020,"University of California, San Francisco",155314,34235992,SAMN00797025,NA,NA,NA,NA
Mammalia,GCA_002754865.1,Callithrix jacchus (white-tufted-ear marmoset),Callithrix jacchus,60,11/6/2017,2017,Broad Institute,155284,129239660,SAMN07586072,NA,NA,NA,NA
Mammalia,GCA_015146175.1,Homo sapiens (human),Homo sapiens,56.6204,10/30/2020,2020,"University of California, San Francisco",155028,34224404,SAMN00797025,NA,NA,NA,NA
Mammalia,GCA_015081235.1,Homo sapiens (human),Homo sapiens,66.9624,10/29/2020,2020,Academia Sinica,155025,45642788,SAMN14178703,NA,NA,NA,NA
Mammalia,GCA_015164135.1,Homo sapiens (human),Homo sapiens,55.3831,10/30/2020,2020,Academia Sinica,154961,20693411,SAMN14178816,NA,NA,NA,NA
Mammalia,GCA_015156355.1,Homo sapiens (human),Homo sapiens,55.3831,10/30/2020,2020,Academia Sinica,154824,20686539,SAMN14178816,NA,NA,NA,NA
Mammalia,GCA_015078775.1,Homo sapiens (human),Homo sapiens,66.9624,10/29/2020,2020,Academia Sinica,154794,45659111,SAMN14178703,NA,NA,NA,NA
Mammalia,GCA_015146785.1,Homo sapiens (human),Homo sapiens,50.4973,10/30/2020,2020,"University of California, San Francisco",154674,29428029,SAMN14253734,NA,NA,NA,NA
Mammalia,GCA_015147185.1,Homo sapiens (human),Homo sapiens,50.4973,10/30/2020,2020,"University of California, San Francisco",154605,29429359,SAMN14253734,NA,NA,NA,NA
Mammalia,GCA_015146965.1,Homo sapiens (human),Homo sapiens,45.0102,10/30/2020,2020,"University of California, San Francisco",154185,33222358,SAMN14253727,NA,NA,NA,NA
Mammalia,GCA_015147345.1,Homo sapiens (human),Homo sapiens,45.0102,10/30/2020,2020,"University of California, San Francisco",153997,38195577,SAMN14253727,NA,NA,NA,NA
Mammalia,GCA_015147905.1,Homo sapiens (human),Homo sapiens,50.1903,10/30/2020,2020,"University of California, San Francisco",153894,39704697,SAMN14253736,NA,NA,NA,NA
Mammalia,GCA_015074705.1,Homo sapiens (human),Homo sapiens,65.1059,10/29/2020,2020,Academia Sinica,153813,44253185,SAMN14178684,NA,NA,NA,NA
Mammalia,GCA_015147325.1,Homo sapiens (human),Homo sapiens,45.0986,10/30/2020,2020,"University of California, San Francisco",153786,46442154,SAMN14253725,NA,NA,NA,NA
Mammalia,GCA_015074715.1,Homo sapiens (human),Homo sapiens,65.1059,10/29/2020,2020,Academia Sinica,153782,44247146,SAMN14178684,NA,NA,NA,NA
Mammalia,GCA_015158435.1,Homo sapiens (human),Homo sapiens,47.6325,10/30/2020,2020,Academia Sinica,153735,44232318,SAMN14178823,NA,NA,NA,NA
Mammalia,GCA_015158395.1,Homo sapiens (human),Homo sapiens,47.6325,10/30/2020,2020,Academia Sinica,153631,44185186,SAMN14178823,NA,NA,NA,NA
Mammalia,GCA_015075825.1,Homo sapiens (human),Homo sapiens,56.6069,10/29/2020,2020,Academia Sinica,153629,39695717,SAMN14178690,NA,NA,NA,NA
Mammalia,GCA_015147645.1,Homo sapiens (human),Homo sapiens,50.1903,10/30/2020,2020,"University of California, San Francisco",153571,39701805,SAMN14253736,NA,NA,NA,NA
Mammalia,GCA_015075875.1,Homo sapiens (human),Homo sapiens,56.6069,10/29/2020,2020,Academia Sinica,153498,39708170,SAMN14178690,NA,NA,NA,NA
Mammalia,GCA_015121745.1,Homo sapiens (human),Homo sapiens,79.1465,10/29/2020,2020,Academia Sinica,153489,59084447,SAMN14178752,NA,NA,NA,NA
Mammalia,GCA_015147045.1,Homo sapiens (human),Homo sapiens,45.0986,10/30/2020,2020,"University of California, San Francisco",153429,46456364,SAMN14253725,NA,NA,NA,NA
Mammalia,GCA_015150055.1,Homo sapiens (human),Homo sapiens,50.9113,10/30/2020,2020,"University of California, San Francisco",153419,33469301,SAMN14253790,NA,NA,NA,NA
Mammalia,GCA_015121695.1,Homo sapiens (human),Homo sapiens,79.1465,10/29/2020,2020,Academia Sinica,153407,59066358,SAMN14178752,NA,NA,NA,NA
Mammalia,GCA_015119075.1,Homo sapiens (human),Homo sapiens,51.1365,10/29/2020,2020,Academia Sinica,153376,44262501,SAMN14178738,NA,NA,NA,NA
Mammalia,GCA_015150875.1,Homo sapiens (human),Homo sapiens,50.9113,10/30/2020,2020,"University of California, San Francisco",153369,33478558,SAMN14253790,NA,NA,NA,NA
Mammalia,GCA_015078815.1,Homo sapiens (human),Homo sapiens,59.9334,10/29/2020,2020,Academia Sinica,153334,39722790,SAMN14178702,NA,NA,NA,NA
Mammalia,GCA_015119155.1,Homo sapiens (human),Homo sapiens,51.1365,10/29/2020,2020,Academia Sinica,153160,44263232,SAMN14178738,NA,NA,NA,NA
Mammalia,GCA_015074985.1,Homo sapiens (human),Homo sapiens,57.007,10/29/2020,2020,Academia Sinica,153134,31052658,SAMN14178685,NA,NA,NA,NA
Mammalia,GCA_015078835.1,Homo sapiens (human),Homo sapiens,59.9334,10/29/2020,2020,Academia Sinica,153128,39719930,SAMN14178702,NA,NA,NA,NA
Mammalia,GCA_015119895.1,Homo sapiens (human),Homo sapiens,56.1376,10/29/2020,2020,Academia Sinica,153112,44617614,SAMN14178741,NA,NA,NA,NA
Mammalia,GCA_015074765.1,Homo sapiens (human),Homo sapiens,57.007,10/29/2020,2020,Academia Sinica,153047,31061124,SAMN14178685,NA,NA,NA,NA
Mammalia,GCA_015119865.1,Homo sapiens (human),Homo sapiens,56.1376,10/29/2020,2020,Academia Sinica,153035,44628372,SAMN14178741,NA,NA,NA,NA
Mammalia,GCA_015076105.1,Homo sapiens (human),Homo sapiens,65.3821,10/29/2020,2020,Academia Sinica,153008,44800067,SAMN14178698,NA,NA,NA,NA
Mammalia,GCA_015147925.1,Homo sapiens (human),Homo sapiens,50.1955,10/30/2020,2020,"University of California, San Francisco",152901,33910242,SAMN14253733,NA,NA,NA,NA
Mammalia,GCA_015076125.1,Homo sapiens (human),Homo sapiens,65.3821,10/29/2020,2020,Academia Sinica,152872,44794683,SAMN14178698,NA,NA,NA,NA
Mammalia,GCA_015075925.1,Homo sapiens (human),Homo sapiens,47.5669,10/29/2020,2020,Academia Sinica,152868,45525811,SAMN14178692,NA,NA,NA,NA
Mammalia,GCA_015146765.1,Homo sapiens (human),Homo sapiens,50.1955,10/30/2020,2020,"University of California, San Francisco",152553,33914930,SAMN14253733,NA,NA,NA,NA
Mammalia,GCA_015147785.1,Homo sapiens (human),Homo sapiens,51.2504,10/30/2020,2020,"University of California, San Francisco",152522,36315137,SAMN14253743,NA,NA,NA,NA
Mammalia,GCA_015075985.1,Homo sapiens (human),Homo sapiens,47.5669,10/29/2020,2020,Academia Sinica,152479,45077929,SAMN14178692,NA,NA,NA,NA
Mammalia,GCA_015147445.1,Homo sapiens (human),Homo sapiens,51.2504,10/30/2020,2020,"University of California, San Francisco",152354,38610402,SAMN14253743,NA,NA,NA,NA
Mammalia,GCA_015147865.1,Homo sapiens (human),Homo sapiens,50.1071,10/30/2020,2020,"University of California, San Francisco",152281,34634750,SAMN14253737,NA,NA,NA,NA
Mammalia,GCA_015147625.1,Homo sapiens (human),Homo sapiens,50.1071,10/30/2020,2020,"University of California, San Francisco",152256,34627648,SAMN14253737,NA,NA,NA,NA
Mammalia,GCA_015145165.1,Homo sapiens (human),Homo sapiens,53.1412,10/30/2020,2020,"University of California, San Francisco",151382,41029320,SAMN00007822,NA,NA,NA,NA
Mammalia,GCA_015145505.1,Homo sapiens (human),Homo sapiens,53.1412,10/30/2020,2020,"University of California, San Francisco",151291,42195905,SAMN00007822,NA,NA,NA,NA
Mammalia,GCA_015156315.1,Homo sapiens (human),Homo sapiens,70.8432,10/30/2020,2020,Academia Sinica,151078,39562824,SAMN14178817,NA,NA,NA,NA
Mammalia,GCA_015157105.1,Homo sapiens (human),Homo sapiens,70.8432,10/30/2020,2020,Academia Sinica,151049,39516929,SAMN14178817,NA,NA,NA,NA
Mammalia,GCA_015147845.1,Homo sapiens (human),Homo sapiens,51.624,10/30/2020,2020,"University of California, San Francisco",151023,30128905,SAMN14253739,NA,NA,NA,NA
Mammalia,GCA_015147545.1,Homo sapiens (human),Homo sapiens,51.624,10/30/2020,2020,"University of California, San Francisco",150993,30130853,SAMN14253739,NA,NA,NA,NA
Mammalia,GCA_015147385.1,Homo sapiens (human),Homo sapiens,44.5916,10/30/2020,2020,"University of California, San Francisco",150849,30545486,SAMN14253724,NA,NA,NA,NA
Mammalia,GCA_015147005.1,Homo sapiens (human),Homo sapiens,44.5916,10/30/2020,2020,"University of California, San Francisco",150763,33690870,SAMN14253724,NA,NA,NA,NA
Mammalia,GCA_015076185.1,Homo sapiens (human),Homo sapiens,58.2254,10/29/2020,2020,Academia Sinica,150443,37985945,SAMN14178699,NA,NA,NA,NA
Mammalia,GCA_015125395.1,Homo sapiens (human),Homo sapiens,51.5768,10/29/2020,2020,Academia Sinica,150413,46081011,SAMN14178768,NA,NA,NA,NA
Mammalia,GCA_015089495.1,Homo sapiens (human),Homo sapiens,42.1856,10/29/2020,2020,Academia Sinica,150263,28382888,SAMN14178708,NA,NA,NA,NA
Mammalia,GCA_015125975.1,Homo sapiens (human),Homo sapiens,51.5768,10/29/2020,2020,Academia Sinica,150224,46084464,SAMN14178768,NA,NA,NA,NA
Mammalia,GCA_015076245.1,Homo sapiens (human),Homo sapiens,58.2254,10/29/2020,2020,Academia Sinica,150083,37981732,SAMN14178699,NA,NA,NA,NA
Mammalia,GCA_015089475.1,Homo sapiens (human),Homo sapiens,42.1856,10/29/2020,2020,Academia Sinica,149935,28374085,SAMN14178708,NA,NA,NA,NA
Mammalia,GCA_015110565.1,Homo sapiens (human),Homo sapiens,58.1281,10/29/2020,2020,Academia Sinica,149502,39758681,SAMN14178730,NA,NA,NA,NA
Mammalia,GCA_015110625.1,Homo sapiens (human),Homo sapiens,58.1281,10/29/2020,2020,Academia Sinica,149460,39764863,SAMN14178730,NA,NA,NA,NA
Mammalia,GCA_015112435.1,Homo sapiens (human),Homo sapiens,49.3136,10/29/2020,2020,Academia Sinica,149418,48570634,SAMN14178732,NA,NA,NA,NA
Mammalia,GCA_015112355.1,Homo sapiens (human),Homo sapiens,49.3136,10/29/2020,2020,Academia Sinica,149332,48550166,SAMN14178732,NA,NA,NA,NA
Mammalia,GCA_015075805.1,Homo sapiens (human),Homo sapiens,50.7245,10/29/2020,2020,Academia Sinica,149250,38268232,SAMN14178689,NA,NA,NA,NA
Mammalia,GCA_015158455.1,Homo sapiens (human),Homo sapiens,47.3508,10/30/2020,2020,Academia Sinica,149113,30113878,SAMN14178822,NA,NA,NA,NA
Mammalia,GCA_015075865.1,Homo sapiens (human),Homo sapiens,50.7245,10/29/2020,2020,Academia Sinica,149003,38171256,SAMN14178689,NA,NA,NA,NA
Mammalia,GCA_015158415.1,Homo sapiens (human),Homo sapiens,47.3508,10/30/2020,2020,Academia Sinica,148671,30123679,SAMN14178822,NA,NA,NA,NA
Mammalia,GCA_004023905.1,Suricata suricatta (meerkat),Suricata suricatta,46.9,1/15/2019,2019,Broad Institute,148487,186735,SAMN07678040,NA,NA,NA,NA
Mammalia,GCA_004027455.1,Hydrochoerus hydrochaeris (capybara),Hydrochoerus hydrochaeris,28.2,1/16/2019,2019,Broad Institute,148451,202224,SAMN07678143,NA,NA,NA,NA
Mammalia,GCA_903992525.1,Arvicola amphibius (Eurasian water vole),Arvicola amphibius,55,8/4/2020,2020,SC,147871,147918,SAMEA994740,NA,NA,NA,NA
Mammalia,GCA_015121505.1,Homo sapiens (human),Homo sapiens,46.0524,10/29/2020,2020,Academia Sinica,147569,45099972,SAMN14178747,NA,NA,NA,NA
Mammalia,GCA_015121455.1,Homo sapiens (human),Homo sapiens,46.0524,10/29/2020,2020,Academia Sinica,147312,45111125,SAMN14178747,NA,NA,NA,NA
Mammalia,GCA_015078855.1,Homo sapiens (human),Homo sapiens,48.8094,10/29/2020,2020,Academia Sinica,147189,42318255,SAMN14178701,NA,NA,NA,NA
Mammalia,GCA_015078795.1,Homo sapiens (human),Homo sapiens,48.8094,10/29/2020,2020,Academia Sinica,146811,42326889,SAMN14178701,NA,NA,NA,NA
Mammalia,GCA_015147425.1,Homo sapiens (human),Homo sapiens,52.5559,10/30/2020,2020,"University of California, San Francisco",146699,37372469,SAMN14253722,NA,NA,NA,NA
Mammalia,GCA_015147105.1,Homo sapiens (human),Homo sapiens,52.5559,10/30/2020,2020,"University of California, San Francisco",146680,34610610,SAMN14253722,NA,NA,NA,NA
Mammalia,GCA_015147605.1,Homo sapiens (human),Homo sapiens,50.2122,10/30/2020,2020,"University of California, San Francisco",146577,26294953,SAMN14253738,NA,NA,NA,NA
Mammalia,GCA_015147885.1,Homo sapiens (human),Homo sapiens,50.2122,10/30/2020,2020,"University of California, San Francisco",146472,26296647,SAMN14253738,NA,NA,NA,NA
Mammalia,GCA_015074665.1,Homo sapiens (human),Homo sapiens,46.7114,10/29/2020,2020,Academia Sinica,144529,32072354,SAMN14178681,NA,NA,NA,NA
Mammalia,GCA_015074625.1,Homo sapiens (human),Homo sapiens,46.7114,10/29/2020,2020,Academia Sinica,144515,32066391,SAMN14178681,NA,NA,NA,NA
Mammalia,GCA_015147485.1,Homo sapiens (human),Homo sapiens,52.6196,10/30/2020,2020,"University of California, San Francisco",143825,31282009,SAMN14253744,NA,NA,NA,NA
Mammalia,GCA_015147745.1,Homo sapiens (human),Homo sapiens,52.6196,10/30/2020,2020,"University of California, San Francisco",143696,31264287,SAMN14253744,NA,NA,NA,NA
Mammalia,GCA_902460175.1,Mustela putorius (European polecat),Mustela putorius,52,8/28/2019,2019,EI,143077,5258708,SAMEA5818864,NA,NA,NA,NA
Mammalia,GCA_902460185.1,Mustela putorius (European polecat),Mustela putorius,52,8/28/2019,2019,EI,143077,10843127,SAMEA5818864,NA,NA,NA,NA
Mammalia,GCA_009917745.1,Delphinapterus leucas (beluga whale),Delphinapterus leucas,39,1/7/2020,2020,National Institute of Standards and Technology,141056,3009037,SAMN12238539,NA,NA,NA,NA
Mammalia,GCA_015128885.1,Homo sapiens (human),Homo sapiens,51.6816,10/29/2020,2020,Academia Sinica,139740,43322476,SAMN14178780,NA,NA,NA,NA
Mammalia,GCA_015128765.1,Homo sapiens (human),Homo sapiens,51.6816,10/29/2020,2020,Academia Sinica,139673,43369916,SAMN14178780,NA,NA,NA,NA
Mammalia,GCA_015144725.1,Homo sapiens (human),Homo sapiens,53.3597,10/30/2020,2020,"University of California, San Francisco",138618,38652633,SAMN00001171,NA,NA,NA,NA
Mammalia,GCA_015144105.1,Homo sapiens (human),Homo sapiens,53.3597,10/30/2020,2020,"University of California, San Francisco",138586,38656602,SAMN00001171,NA,NA,NA,NA
Mammalia,GCA_008692045.1,Phocoena sinus (vaquita),Phocoena sinus,67.26,9/24/2019,2019,Vertebrate Genomes Project,137866,137866,SAMN12325353,NA,NA,NA,NA
Mammalia,GCA_003033725.1,Equus asinus asinus (ass),Equus asinus,61,4/4/2018,2018,Centre for GeoGenetics,134070,15144613,SAMN02179859,NA,NA,NA,NA
Mammalia,GCA_007474575.2,Lynx canadensis (Canada lynx),Lynx canadensis,72,6/12/2020,2020,Vertebrate Genomes Project,130146,130159,SAMN09948483,NA,NA,NA,NA
Mammalia,GCA_007922735.1,Rhinolophus ferrumequinum (greater horseshoe bat),Rhinolophus ferrumequinum,39.7,8/8/2019,2019,Broad Institute,127195,156956,SAMN07678122,NA,NA,NA,NA
Mammalia,GCA_900166895.1,Phascolarctos cinereus (koala),Phascolarctos cinereus,64,5/4/2018,2018,KOALA GENOME CONSORTIUM,126882,798273,SAMEA91939168,NA,NA,NA,NA
