Organism Groups,accession,submission_date,year,ReleaseOrder,sequence_length,organism
Mammalia,KU891375,28-Dec-2016,2016,15242,16429,Physeter catodon
Mammalia,KU891374,28-Dec-2016,2016,15243,16429,Physeter catodon
Mammalia,KU891373,28-Dec-2016,2016,15244,16431,Physeter catodon
Mammalia,KU891372,28-Dec-2016,2016,15245,16429,Physeter catodon
Mammalia,KU891371,28-Dec-2016,2016,15246,16429,Physeter catodon
Mammalia,KU891370,28-Dec-2016,2016,15247,16429,Physeter catodon
Mammalia,KU891369,28-Dec-2016,2016,15248,16429,Physeter catodon
Mammalia,KU891368,28-Dec-2016,2016,15249,16430,Physeter catodon
Mammalia,KU891367,28-Dec-2016,2016,15250,16429,Physeter catodon
Mammalia,KU891366,28-Dec-2016,2016,15251,16429,Physeter catodon
Mammalia,KU891365,28-Dec-2016,2016,15252,16429,Physeter catodon
Mammalia,KU891364,28-Dec-2016,2016,15253,16429,Physeter catodon
Mammalia,KU891363,28-Dec-2016,2016,15254,16429,Physeter catodon
Mammalia,KU891362,28-Dec-2016,2016,15255,16428,Physeter catodon
Mammalia,KU891361,28-Dec-2016,2016,15256,16428,Physeter catodon
Mammalia,KU891360,28-Dec-2016,2016,15257,16429,Physeter catodon
Mammalia,KU891359,28-Dec-2016,2016,15258,16429,Physeter catodon
Mammalia,KU891358,28-Dec-2016,2016,15259,16428,Physeter catodon
Mammalia,KU891357,28-Dec-2016,2016,15260,16428,Physeter catodon
Mammalia,KU891356,28-Dec-2016,2016,15261,16429,Physeter catodon
Mammalia,KU891355,28-Dec-2016,2016,15262,16429,Physeter catodon
Mammalia,KU891354,28-Dec-2016,2016,15263,16429,Physeter catodon
Mammalia,KU891353,28-Dec-2016,2016,15264,16428,Physeter catodon
Mammalia,KU891352,28-Dec-2016,2016,15265,16429,Physeter catodon
Mammalia,KU891351,28-Dec-2016,2016,15266,16429,Physeter catodon
Mammalia,KU891350,28-Dec-2016,2016,15267,16428,Physeter catodon
Mammalia,KU891349,28-Dec-2016,2016,15268,16429,Physeter catodon
Mammalia,KU891348,28-Dec-2016,2016,15269,16428,Physeter catodon
Mammalia,KU891347,28-Dec-2016,2016,15270,16428,Physeter catodon
Mammalia,KU891346,28-Dec-2016,2016,15271,16429,Physeter catodon
Mammalia,KU891345,28-Dec-2016,2016,15272,16429,Physeter catodon
Mammalia,KU891344,28-Dec-2016,2016,15273,16429,Physeter catodon
Mammalia,KU891343,28-Dec-2016,2016,15274,16429,Physeter catodon
Mammalia,KU891342,28-Dec-2016,2016,15275,16429,Physeter catodon
Mammalia,KU891341,28-Dec-2016,2016,15276,16429,Physeter catodon
Mammalia,KU891340,28-Dec-2016,2016,15277,16428,Physeter catodon
Mammalia,KU891339,28-Dec-2016,2016,15278,16429,Physeter catodon
Mammalia,KU891338,28-Dec-2016,2016,15279,16429,Physeter catodon
Mammalia,KU891337,28-Dec-2016,2016,15280,16429,Physeter catodon
Mammalia,KU891336,28-Dec-2016,2016,15281,16429,Physeter catodon
Mammalia,KU891335,28-Dec-2016,2016,15282,16429,Physeter catodon
Mammalia,KU891334,28-Dec-2016,2016,15283,16429,Physeter catodon
Mammalia,KU891333,28-Dec-2016,2016,15284,16429,Physeter catodon
Mammalia,KU891332,28-Dec-2016,2016,15285,16429,Physeter catodon
Mammalia,KU891331,28-Dec-2016,2016,15286,16429,Physeter catodon
Mammalia,KU891330,28-Dec-2016,2016,15287,16428,Physeter catodon
Mammalia,KU891329,28-Dec-2016,2016,15288,16429,Physeter catodon
Osteichthyes,KJ433561,28-Dec-2016,2016,15289,17251,Chascanopsetta lugubris
Mammalia,KU569221,29-Dec-2016,2016,15290,16570,Pteronotus personatus
Mammalia,KX553934,29-Dec-2016,2016,15291,16324,Bison bonasus
Mammalia,KX553933,29-Dec-2016,2016,15292,16326,Bison bonasus
Mammalia,KX553932,29-Dec-2016,2016,15293,16312,Bison bonasus
Mammalia,KX553931,29-Dec-2016,2016,15294,16309,Bison bonasus
Mammalia,KX553930,29-Dec-2016,2016,15295,16313,Bison bonasus
Aves,KT737824,30-Dec-2016,2016,15296,16752,Emberiza fucata
Mammalia,KX146493,30-Dec-2016,2016,15297,16612,Sus scrofa
Osteichthyes,KP259551,30-Dec-2016,2016,15298,16509,Auxis thazard
Osteichthyes,KP259550,30-Dec-2016,2016,15299,16528,Thunnus albacares
Osteichthyes,KP259549,30-Dec-2016,2016,15300,16527,Thunnus alalunga
Osteichthyes,KP259548,30-Dec-2016,2016,15301,16505,Auxis rochei
Aves,KT361659,31-Dec-2016,2016,15302,18853,Amazona aestiva
Aves,KT265276,31-Dec-2016,2016,15303,16499,Lophornis magnificus
Aves,KT265275,31-Dec-2016,2016,15304,16815,Glaucis hirsutus
Aves,KP722043,31-Dec-2016,2016,15305,16811,Amazilia brevirostris
Aves,KP722042,31-Dec-2016,2016,15306,16821,Amazilia millerii
Aves,KP722041,31-Dec-2016,2016,15307,16820,Amazilia rondoniae
Chondrichthyes,KX354996,31-Dec-2016,2016,15308,16697,Cephaloscyllium umbratile
Mammalia,KU745736,31-Dec-2016,2016,15309,16294,Neotoma fuscipes
Mammalia,KU234271,31-Dec-2016,2016,15310,17059,Panthera leo persica
Osteichthyes,KU668580,31-Dec-2016,2016,15311,16580,Carassius gibelio
Osteichthyes,KU668579,31-Dec-2016,2016,15312,16580,Carassius gibelio
Osteichthyes,KU668578,31-Dec-2016,2016,15313,16580,Carassius gibelio
Osteichthyes,KU668577,31-Dec-2016,2016,15314,16580,Carassius gibelio
Osteichthyes,KU668576,31-Dec-2016,2016,15315,16580,Carassius gibelio
Osteichthyes,KU668575,31-Dec-2016,2016,15316,16580,Carassius gibelio
Osteichthyes,KU668574,31-Dec-2016,2016,15317,16580,Carassius gibelio
Osteichthyes,KU668573,31-Dec-2016,2016,15318,16580,Carassius gibelio
Osteichthyes,KU668572,31-Dec-2016,2016,15319,16580,Carassius gibelio
Osteichthyes,KU668571,31-Dec-2016,2016,15320,16580,Carassius gibelio
Osteichthyes,KU668570,31-Dec-2016,2016,15321,16580,Carassius gibelio
Osteichthyes,KU668569,31-Dec-2016,2016,15322,16580,Carassius gibelio
Osteichthyes,KU668568,31-Dec-2016,2016,15323,16580,Carassius gibelio
Osteichthyes,KR000002,31-Dec-2016,2016,15324,16613,Sardinella longiceps
Osteichthyes,KM978993,31-Dec-2016,2016,15325,16555,Uraspis helvola
Osteichthyes,KJ433565,31-Dec-2016,2016,15326,16536,Pardachirus pavoninus
Osteichthyes,KJ433560,31-Dec-2016,2016,15327,16164,Citharoides macrolepis
Osteichthyes,KF752481,31-Dec-2016,2016,15328,16591,Bangana tungting
Osteichthyes,KF752480,31-Dec-2016,2016,15329,16592,Schizothorax lissolabiata
Osteichthyes,KF752479,31-Dec-2016,2016,15330,16594,Rectoris posehensis
Osteichthyes,KF752478,31-Dec-2016,2016,15331,16960,Garra salweenica
Osteichthyes,KF752477,31-Dec-2016,2016,15332,16707,Tariqlabeo bicornis
Osteichthyes,KU323963,31-Dec-2016,2016,15333,16607,Rhinogobio typus
Osteichthyes,KU323962,31-Dec-2016,2016,15334,16604,Rhinogobio cylindricus
Osteichthyes,KU323961,31-Dec-2016,2016,15335,16607,Paracanthobrama guichenoti
Osteichthyes,KU323960,31-Dec-2016,2016,15336,16605,Gnathopogon strigatus
Osteichthyes,KU323959,31-Dec-2016,2016,15337,16606,Gnathopogon nicholsi
Osteichthyes,KP641341,31-Dec-2016,2016,15338,16835,Diptychus maculatus
Osteichthyes,KP090219,31-Dec-2016,2016,15339,16704,Schizopygopsis pylzovi
Osteichthyes,KP053957,31-Dec-2016,2016,15340,16726,Herzensteinia microcephalus
Squamata,KT963029,31-Dec-2016,2016,15341,17628,Protobothrops mangshanensis
Squamata,KP981388,31-Dec-2016,2016,15342,19796,Eremias vermiculata
Mammalia,KU161588,1-Jan-2017,2017,15343,16721,Vespertilio murinus
Aves,NC_032725,5-Jan-2017,2017,15344,16954,Terpsiphone atrocaudata
Osteichthyes,NC_032692,5-Jan-2017,2017,15345,16569,Triplophysa stenura
Osteichthyes,NC_032723,5-Jan-2017,2017,15346,16539,Rasbora lateristriata
Osteichthyes,NC_032722,5-Jan-2017,2017,15347,16541,Rasbora aprotaenia
Osteichthyes,NC_032715,5-Jan-2017,2017,15348,16680,Acipenser brevirostrum
Osteichthyes,NC_032695,5-Jan-2017,2017,15349,16561,Pimelodus maculatus
Osteichthyes,KJ082038,6-Jan-2017,2017,15350,16497,Eugnathogobius oligactis
Osteichthyes,KY038381,9-Jan-2017,2017,15351,16960,Eleginops maclovinus
Osteichthyes,KX621134,10-Jan-2017,2017,15352,17388,Ambassis gymnocephalus
Mammalia,KX379529,11-Jan-2017,2017,15353,16725,Canis lupus familiaris
Mammalia,KX379528,11-Jan-2017,2017,15354,16722,Canis lupus familiaris
Osteichthyes,KX753639,11-Jan-2017,2017,15355,16734,Stolephorus commersonnii
Osteichthyes,KY091265,11-Jan-2017,2017,15356,16699,Scomberomorus concolor
Mammalia,KU575247,12-Jan-2017,2017,15357,16656,Equus caballus
Osteichthyes,KR150878,14-Jan-2017,2017,15358,16528,Cryptoheros cutteri
Osteichthyes,KR150876,14-Jan-2017,2017,15359,16617,Cichlasoma dimerus
Osteichthyes,KR150875,14-Jan-2017,2017,15360,16549,Uaru amphiacanthoides
Osteichthyes,KR150871,14-Jan-2017,2017,15361,16537,Retroculus lapidifer
Osteichthyes,KR150870,14-Jan-2017,2017,15362,16539,Rocio octofasciata
Osteichthyes,KR150869,14-Jan-2017,2017,15363,16490,Pterophyllum scalare
Osteichthyes,KR150868,14-Jan-2017,2017,15364,16513,Andinoacara pulcher
Osteichthyes,KR150867,14-Jan-2017,2017,15365,16540,Herichthys cyanoguttatus
Osteichthyes,KR150866,14-Jan-2017,2017,15366,16594,Geophagus steindachneri
Osteichthyes,KR150865,14-Jan-2017,2017,15367,16541,Aequidens metae
Osteichthyes,KR150863,14-Jan-2017,2017,15368,16527,Cichla ocellaris
Osteichthyes,KR150862,14-Jan-2017,2017,15369,16540,Bujurquina mariae
Osteichthyes,KR150861,14-Jan-2017,2017,15370,16610,Chaetobranchopsis bitaeniatus
Osteichthyes,KX443413,15-Jan-2017,2017,15371,16833,Schizopygopsis stoliczkai
Aves,KX506858,16-Jan-2017,2017,15372,16801,Monticola gularis
Mammalia,KX447638,17-Jan-2017,2017,15373,16689,Prionodon pardicolor pardicolor
Aves,NC_033414,18-Jan-2017,2017,15374,16499,Lophornis magnificus
Aves,NC_033413,18-Jan-2017,2017,15375,16815,Glaucis hirsutus
Aves,NC_033338,18-Jan-2017,2017,15376,16752,Emberiza fucata
Aves,NC_033336,18-Jan-2017,2017,15377,18853,Amazona aestiva
Aves,NC_033406,18-Jan-2017,2017,15378,16811,Amazilia brevirostris
Aves,NC_033405,18-Jan-2017,2017,15379,16821,Amazilia millerii
Aves,NC_033404,18-Jan-2017,2017,15380,16820,Amazilia rondoniae
Mammalia,NC_033381,18-Jan-2017,2017,15381,16856,Nycticebus pygmaeus
Mammalia,NC_033356,18-Jan-2017,2017,15382,16294,Neotoma fuscipes
Mammalia,NC_033353,18-Jan-2017,2017,15383,16570,Pteronotus personatus
Mammalia,NC_033378,18-Jan-2017,2017,15384,16589,Civettictis civetta
Mammalia,NC_033347,18-Jan-2017,2017,15385,16721,Vespertilio murinus
Mammalia,KY250074,18-Jan-2017,2017,15386,16508,Hoolock leuconedys
Mammalia,KY250073,18-Jan-2017,2017,15387,16495,Hoolock hoolock
Mammalia,KY250072,18-Jan-2017,2017,15388,16510,Hoolock leuconedys x Hoolock tianxing
Mammalia,KY250071,18-Jan-2017,2017,15389,16494,Hoolock leuconedys
Mammalia,KY250070,18-Jan-2017,2017,15390,16510,Hoolock tianxing
Mammalia,KY250069,18-Jan-2017,2017,15391,16511,Hoolock tianxing
Mammalia,KY250068,18-Jan-2017,2017,15392,16509,Hoolock leuconedys
Mammalia,KY250067,18-Jan-2017,2017,15393,16497,Hoolock leuconedys
Mammalia,KY250066,18-Jan-2017,2017,15394,16497,Hoolock leuconedys
Mammalia,KY250065,18-Jan-2017,2017,15395,16501,Hoolock leuconedys
Mammalia,KY250064,18-Jan-2017,2017,15396,16514,Hoolock leuconedys x Hoolock tianxing
Mammalia,KY250063,18-Jan-2017,2017,15397,16512,Hoolock leuconedys
Mammalia,KY250062,18-Jan-2017,2017,15398,16495,Hoolock leuconedys
Mammalia,KY250061,18-Jan-2017,2017,15399,16511,Hoolock leuconedys
Osteichthyes,NC_033407,18-Jan-2017,2017,15400,16613,Sardinella longiceps
Osteichthyes,NC_033402,18-Jan-2017,2017,15401,16555,Uraspis helvola
Osteichthyes,NC_033391,18-Jan-2017,2017,15402,16497,Eugnathogobius oligactis
Osteichthyes,NC_033390,18-Jan-2017,2017,15403,16594,Rectoris posehensis
Osteichthyes,NC_033389,18-Jan-2017,2017,15404,16960,Garra salweenica
Osteichthyes,NC_033403,18-Jan-2017,2017,15405,16726,Herzensteinia microcephalus
Osteichthyes,NC_033392,18-Jan-2017,2017,15406,17251,Chascanopsetta lugubris
Osteichthyes,NC_033386,18-Jan-2017,2017,15407,16960,Eleginops maclovinus
Osteichthyes,NC_033351,18-Jan-2017,2017,15408,16606,Gnathopogon nicholsi
Osteichthyes,KX925518,18-Jan-2017,2017,15409,16705,Scomberomorus concolor
Osteichthyes,KX925517,18-Jan-2017,2017,15410,16699,Scomberomorus sierra
Squamata,NC_033383,18-Jan-2017,2017,15411,17462,Eublepharis macularius
Aves,NC_033536,26-Jan-2017,2017,15412,16801,Monticola gularis
Osteichthyes,NC_033521,26-Jan-2017,2017,15413,16734,Stolephorus commersonnii
Osteichthyes,NC_033497,26-Jan-2017,2017,15414,17388,Ambassis gymnocephalus
Osteichthyes,NC_033552,26-Jan-2017,2017,15415,16528,Cryptoheros cutteri
Osteichthyes,NC_033551,26-Jan-2017,2017,15416,16617,Cichlasoma dimerus
Osteichthyes,NC_033550,26-Jan-2017,2017,15417,16549,Uaru amphiacanthoides
Osteichthyes,NC_033549,26-Jan-2017,2017,15418,16537,Retroculus lapidifer
Osteichthyes,NC_033548,26-Jan-2017,2017,15419,16539,Rocio octofasciata
Osteichthyes,NC_033547,26-Jan-2017,2017,15420,16513,Andinoacara pulcher
Osteichthyes,NC_033546,26-Jan-2017,2017,15421,16540,Herichthys cyanoguttatus
Osteichthyes,NC_033545,26-Jan-2017,2017,15422,16594,Geophagus steindachneri
Osteichthyes,NC_033544,26-Jan-2017,2017,15423,16541,Aequidens metae
Osteichthyes,NC_033543,26-Jan-2017,2017,15424,16540,Bujurquina mariae
Osteichthyes,NC_033542,26-Jan-2017,2017,15425,16610,Chaetobranchopsis bitaeniatus
Osteichthyes,NC_033531,26-Jan-2017,2017,15426,16699,Scomberomorus concolor
Mammalia,KX528208,28-Jan-2017,2017,15427,16620,Petaurista yunanensis
Osteichthyes,KY235362,28-Jan-2017,2017,15428,16788,Bolbometopon muricatum
Osteichthyes,KU379653,28-Jan-2017,2017,15429,16604,Rhinogobio ventralis
Osteichthyes,KU379652,28-Jan-2017,2017,15430,16607,Rhinogobio cylindricus
Mammalia,KU575248,31-Jan-2017,2017,15431,16618,Ovis aries
Mammalia,KU886000,31-Jan-2017,2017,15432,16386,Neophocaena asiaeorientalis asiaeorientalis
Osteichthyes,KP710978,31-Jan-2017,2017,15433,16447,Takifugu rubripes x Takifugu flavidus
Osteichthyes,KU497492,31-Jan-2017,2017,15434,16941,Cynoglossus joyneri
Osteichthyes,KU523584,31-Jan-2017,2017,15435,16629,Hoplias intermedius
Osteichthyes,KY124134,31-Jan-2017,2017,15436,16823,Brachymystax tsinlingensis
Amphibia,KX686108,1-Feb-2017,2017,15437,17681,Lithobates catesbeianus
Chondrichthyes,KX610464,1-Feb-2017,2017,15438,16697,Lamna nasus
Mammalia,KY311838,1-Feb-2017,2017,15439,16767,Castor canadensis
Osteichthyes,KX929060,1-Feb-2017,2017,15440,16589,Otolithes ruber
Aves,KX529654,6-Feb-2017,2017,15441,16206,Ninox strenua
Aves,KX639757,6-Feb-2017,2017,15442,16854,Pluvialis fulva
Mammalia,KY321562,6-Feb-2017,2017,15443,16767,Castor canadensis
Osteichthyes,KU291530,6-Feb-2017,2017,15444,16576,Pseudoplatystoma reticulatum
Osteichthyes,KY419201,7-Feb-2017,2017,15445,16572,Triplophysa pappenheimi
Osteichthyes,KX670381,7-Feb-2017,2017,15446,16863,Garra kempi
Aves,KX668223,12-Feb-2017,2017,15447,16906,Tringa ochropus
Aves,KX644890,12-Feb-2017,2017,15448,16817,Xenus cinereus
Osteichthyes,KX575834,12-Feb-2017,2017,15449,16458,Epinephelus coioides x Epinephelus akaara
Osteichthyes,KY406745,12-Feb-2017,2017,15450,16682,Gymnocypris przewalskii ssp. n. CT-2017
Mammalia,KY202428,13-Feb-2017,2017,15451,16589,Alouatta guariba clamitans
Mammalia,KY114520,13-Feb-2017,2017,15452,16444,Equus ovodovi
Aves,KY411600,14-Feb-2017,2017,15453,16672,Tetrastes bonasia
Aves,KY411599,14-Feb-2017,2017,15454,16690,Tetraogallus himalayensis
Aves,KY411598,14-Feb-2017,2017,15455,15712,Rhizothera longirostris
Aves,KY411597,14-Feb-2017,2017,15456,16705,Rhizothera longirostris
Aves,KY411596,14-Feb-2017,2017,15457,16696,Perdix dauurica
Aves,KY411595,14-Feb-2017,2017,15458,16696,Lophura edwardsi
Aves,KY411594,14-Feb-2017,2017,15459,16690,Lerwa lerwa
Aves,KY411593,14-Feb-2017,2017,15460,16683,Lagopus muta
Aves,KY411592,14-Feb-2017,2017,15461,16701,Ithaginis cruentus
Aves,KY411591,14-Feb-2017,2017,15462,16692,Haematortyx sanguiniceps
Aves,KY411590,14-Feb-2017,2017,15463,16709,Argusianus argus
Mammalia,KU886087,14-Feb-2017,2017,15464,16325,Bison schoetensacki
Mammalia,KU937361,14-Feb-2017,2017,15465,17140,Crocuta crocuta
Mammalia,KY211034,14-Feb-2017,2017,15466,16680,Lepus europaeus
Mammalia,KY211033,14-Feb-2017,2017,15467,16680,Lepus europaeus
Mammalia,KY211032,14-Feb-2017,2017,15468,16680,Lepus europaeus
Mammalia,KY211031,14-Feb-2017,2017,15469,16680,Lepus europaeus
Mammalia,KY211030,14-Feb-2017,2017,15470,16680,Lepus europaeus
Mammalia,KY211029,14-Feb-2017,2017,15471,16680,Lepus europaeus
Mammalia,KY211028,14-Feb-2017,2017,15472,16680,Lepus europaeus
Mammalia,KY211027,14-Feb-2017,2017,15473,16680,Lepus europaeus
Mammalia,KY211026,14-Feb-2017,2017,15474,16680,Lepus europaeus
Mammalia,KY211025,14-Feb-2017,2017,15475,16680,Lepus europaeus
Mammalia,KY211024,14-Feb-2017,2017,15476,16680,Lepus europaeus
Mammalia,KY211023,14-Feb-2017,2017,15477,16680,Lepus europaeus
Mammalia,KY211022,14-Feb-2017,2017,15478,16680,Lepus europaeus
Mammalia,KY211021,14-Feb-2017,2017,15479,16670,Lepus europaeus
Osteichthyes,KX988261,18-Feb-2017,2017,15480,16610,Semicossyphus reticulatus
Osteichthyes,KP861226,20-Feb-2017,2017,15481,16464,Syngnathus schlegeli
Osteichthyes,KP861225,20-Feb-2017,2017,15482,16563,Mugil cephalus
Mammalia,KU892788,21-Feb-2017,2017,15483,16628,Mesomys stimulax
Mammalia,KU892787,21-Feb-2017,2017,15484,16555,Mesomys hispidus
Mammalia,KU892786,21-Feb-2017,2017,15485,16592,Lonchothrix emiliae
Mammalia,KU892785,21-Feb-2017,2017,15486,16557,Isothrix sinnamariensis
Mammalia,KU892784,21-Feb-2017,2017,15487,16682,Toromys grandis
Mammalia,KU892783,21-Feb-2017,2017,15488,16548,Pattonomys semivillosus
Mammalia,KU892782,21-Feb-2017,2017,15489,16857,Makalata didelphoides
Mammalia,KU892781,21-Feb-2017,2017,15490,16825,Echimys chrysurus
Mammalia,KU892779,21-Feb-2017,2017,15491,16733,Hoplomys gymnurus
Mammalia,KU892778,21-Feb-2017,2017,15492,16785,Proechimys cuvieri
Mammalia,KU892777,21-Feb-2017,2017,15493,16737,Santamartamys rufodorsalis
Mammalia,KU892776,21-Feb-2017,2017,15494,16730,Diplomys labilis
Mammalia,KU892775,21-Feb-2017,2017,15495,16750,Kannabateomys amblyonyx
Mammalia,KU892774,21-Feb-2017,2017,15496,16548,Olallamys albicauda
Mammalia,KU892773,21-Feb-2017,2017,15497,16772,Thrichomys apereoides
Mammalia,KU892772,21-Feb-2017,2017,15498,16601,Proechimys roberti
Mammalia,KU892771,21-Feb-2017,2017,15499,16698,Plagiodontia aedium
Mammalia,KU892770,21-Feb-2017,2017,15500,16614,Mysateles prehensilis
Mammalia,KU892769,21-Feb-2017,2017,15501,16646,Mesocapromys melanurus
Mammalia,KU892768,21-Feb-2017,2017,15502,16583,Geocapromys ingrahami
Mammalia,KU892767,21-Feb-2017,2017,15503,16578,Geocapromys brownii
Mammalia,KU892766,21-Feb-2017,2017,15504,16690,Capromys pilorides
Mammalia,KU892765,21-Feb-2017,2017,15505,16680,Trinomys yonenagae
Mammalia,KU892764,21-Feb-2017,2017,15506,16636,Trinomys setosus
Mammalia,KU892763,21-Feb-2017,2017,15507,16718,Trinomys paratus
Mammalia,KU892762,21-Feb-2017,2017,15508,16537,Trinomys iheringi
Mammalia,KU892761,21-Feb-2017,2017,15509,16553,Trinomys albispinus
Mammalia,KU892760,21-Feb-2017,2017,15510,16601,Phyllomys pattoni
Mammalia,KU892759,21-Feb-2017,2017,15511,16602,Phyllomys mantiqueirensis
Mammalia,KU892758,21-Feb-2017,2017,15512,16544,Phyllomys lundi
Mammalia,KU892757,21-Feb-2017,2017,15513,16759,Phyllomys dasythrix
Mammalia,KU892756,21-Feb-2017,2017,15514,16669,Phyllomys blainvillii
Mammalia,KU892755,21-Feb-2017,2017,15515,16740,Euryzygomatomys spinosus
Mammalia,KU892754,21-Feb-2017,2017,15516,16572,Callistomys pictus
Mammalia,KU892753,21-Feb-2017,2017,15517,16567,Clyomys laticeps
Mammalia,KU892752,21-Feb-2017,2017,15518,16731,Carterodon sulcidens
Osteichthyes,KT239005,21-Feb-2017,2017,15519,16457,Pterygoplichthys anisitsi
Osteichthyes,KT239004,21-Feb-2017,2017,15520,16521,Pterygoplichthys anisitsi
Osteichthyes,KT239003,21-Feb-2017,2017,15521,16538,Pterygoplichthys anisitsi
Osteichthyes,KT183034,21-Feb-2017,2017,15522,16460,Pandaka pygmaea
Osteichthyes,KT153060,21-Feb-2017,2017,15523,16424,Brachygobius kabiliensis
Osteichthyes,KT075096,21-Feb-2017,2017,15524,16494,Eugnathogobius variegatus
Mammalia,KX094894,22-Feb-2017,2017,15525,16731,Sus scrofa
Mammalia,KT852939,24-Feb-2017,2017,15526,16385,Neophocaena phocaenoides sunameri
Osteichthyes,KJ139455,24-Feb-2017,2017,15527,16961,Corythoichthys flavofasciatus
Aves,NC_034001,27-Feb-2017,2017,15528,16692,Haematortyx sanguiniceps
Aves,NC_033974,27-Feb-2017,2017,15529,16906,Tringa ochropus
Aves,NC_033966,27-Feb-2017,2017,15530,16854,Pluvialis fulva
Aves,NC_034002,27-Feb-2017,2017,15531,16683,Lagopus muta
Aves,NC_033973,27-Feb-2017,2017,15532,16817,Xenus cinereus
Aves,NC_033967,27-Feb-2017,2017,15533,16206,Ninox strenua
Chondrichthyes,NC_033911,27-Feb-2017,2017,15534,16697,Lamna nasus
Mammalia,NC_033912,27-Feb-2017,2017,15535,16767,Castor canadensis
Mammalia,NC_033873,27-Feb-2017,2017,15536,16325,Bison schoetensacki
Mammalia,NC_033902,27-Feb-2017,2017,15537,16620,Petaurista yunanensis
Mammalia,NC_033885,27-Feb-2017,2017,15538,16495,Hoolock hoolock
Mammalia,NC_033884,27-Feb-2017,2017,15539,16511,Hoolock tianxing
Mammalia,NC_033883,27-Feb-2017,2017,15540,16514,Hoolock leuconedys x Hoolock tianxing
Mammalia,NC_033882,27-Feb-2017,2017,15541,16511,Hoolock leuconedys
Osteichthyes,NC_034005,27-Feb-2017,2017,15542,16447,Takifugu rubripes x Takifugu flavidus
Osteichthyes,NC_033972,27-Feb-2017,2017,15543,16572,Triplophysa pappenheimi
Osteichthyes,NC_033964,27-Feb-2017,2017,15544,16588,Cirrhinus cirrhosus
Osteichthyes,NC_033963,27-Feb-2017,2017,15545,16605,Labeo coubie
Osteichthyes,NC_033962,27-Feb-2017,2017,15546,16457,Epalzeorhynchos frenatus
Osteichthyes,NC_033961,27-Feb-2017,2017,15547,16592,Lobocheilos melanotaenia
Osteichthyes,NC_033960,27-Feb-2017,2017,15548,16574,Micronemacheilus cruciatus
Osteichthyes,NC_033958,27-Feb-2017,2017,15549,16660,Acanthocobitis botia
Osteichthyes,NC_033957,27-Feb-2017,2017,15550,16559,Homalopteroides smithi
Osteichthyes,NC_033953,27-Feb-2017,2017,15551,16577,Homaloptera ocellata
Osteichthyes,NC_033952,27-Feb-2017,2017,15552,16565,Neohomaloptera johorensis
Osteichthyes,NC_033909,27-Feb-2017,2017,15553,16589,Otolithes ruber
Osteichthyes,NC_033959,27-Feb-2017,2017,15554,16642,Acanthocobitis zonalternans
Osteichthyes,NC_033956,27-Feb-2017,2017,15555,16561,Serpenticobitis octozona
Osteichthyes,NC_033955,27-Feb-2017,2017,15556,16565,Homaloptera confuzona
Osteichthyes,NC_033954,27-Feb-2017,2017,15557,16540,Barbucca diabolica
Osteichthyes,NC_033901,27-Feb-2017,2017,15558,16788,Bolbometopon muricatum
Osteichthyes,NC_033859,27-Feb-2017,2017,15559,16576,Pseudoplatystoma reticulatum
Osteichthyes,NC_033887,27-Feb-2017,2017,15560,16699,Scomberomorus sierra
Osteichthyes,NC_033860,27-Feb-2017,2017,15561,16629,Hoplias intermedius
Osteichthyes,KU755530,27-Feb-2017,2017,15562,18999,Neogobius melanostomus
Aves,KY412176,28-Feb-2017,2017,15563,16688,Aepyornis sp.
Mammalia,KY052156,28-Feb-2017,2017,15564,16357,Muntiacus sp. BOR1
Mammalia,KY052155,28-Feb-2017,2017,15565,16354,Muntiacus sp. BOR3
Mammalia,KY052154,28-Feb-2017,2017,15566,16341,Muntiacus sp. JAV12
Mammalia,KY052153,28-Feb-2017,2017,15567,16352,Muntiacus sp. LSI3
Mammalia,KY052152,28-Feb-2017,2017,15568,16351,Muntiacus sp. JAV10
Mammalia,KY052151,28-Feb-2017,2017,15569,16299,Muntiacus sp. LSI2
Mammalia,KY052150,28-Feb-2017,2017,15570,16332,Muntiacus sp. JAV9
Mammalia,KY052149,28-Feb-2017,2017,15571,16334,Muntiacus sp. LOM3
Mammalia,KY052148,28-Feb-2017,2017,15572,16336,Muntiacus sp. LOM1
Mammalia,KY052147,28-Feb-2017,2017,15573,16345,Muntiacus sp. SUM3
Mammalia,KY052146,28-Feb-2017,2017,15574,16300,Muntiacus sp. JAV4
Mammalia,KY052145,28-Feb-2017,2017,15575,16355,Muntiacus sp. JAV2
Mammalia,KY052144,28-Feb-2017,2017,15576,16349,Muntiacus sp. JAV7
Mammalia,KY052143,28-Feb-2017,2017,15577,16288,Muntiacus sp. SUM5
Mammalia,KY052142,28-Feb-2017,2017,15578,16329,Muntiacus sp. JAV8
Mammalia,KY052141,28-Feb-2017,2017,15579,16326,Muntiacus sp. JAV3
Mammalia,KY052140,28-Feb-2017,2017,15580,16307,Muntiacus sp. JAV16
Mammalia,KY052139,28-Feb-2017,2017,15581,16351,Muntiacus sp. JAV1
Mammalia,KY052138,28-Feb-2017,2017,15582,16351,Muntiacus sp. JAV14
Mammalia,KY052137,28-Feb-2017,2017,15583,16334,Muntiacus sp. SUM2
Mammalia,KY052136,28-Feb-2017,2017,15584,16348,Muntiacus sp. SUM4
